name,wins,looses,draws,ko_rate,stance,age,height,reach,country
allen litzau,14,8,0,31.8%,Orthodox,40,5.58 ft (1.70 m),Unknown,United States
sonny liston,50,4,0,72.2%,Orthodox,92,6.04 ft (1.84 m),83.86 inches (213 cm),United States
freddie little,51,6,0,53.4%,Unknown,86,5.61 ft (1.71 m),Unknown,United States
Dakota Linger,0,0,0,0%,Orthodox,Unknown,Unknown,Unknown,United States
sergey lipinets,16,1,0,63.2%,Orthodox,33,5.58 ft (1.70 m),Unknown,Russian Federation
joe lipsey,25,1,0,76.9%,Southpaw,55,5.74 ft (1.75 m),Unknown,United States
Augusto Lima,0,0,0,0%,Orthodox,Unknown,Unknown,Unknown,Argentina
Sarah Liegmann,0,0,0,0%,Orthodox,20,Unknown,Unknown,Germany
jorge linares,46,5,0,56.9%,Orthodox,37,5.71 ft (1.74 m),69.29 inches (176 cm),"Venezuela, Bolivarian Republic of"
alvin blue lewis,30,6,0,52.8%,Orthodox,79,6.27 ft (1.91 m),Unknown,United States
Najik Lewis,0,2,0,0%,Orthodox,Unknown,Unknown,Unknown,United States
lennox lewis,41,2,1,72.7%,Orthodox,56,6.43 ft (1.96 m),83.86 inches (213 cm),United Kingdom
john henry lewis,97,10,4,51.4%,Orthodox,108,5.91 ft (1.80 m),75.59 inches (192 cm),United States
ted kid lewis,232,45,25,26.2%,Unknown,128,5.61 ft (1.71 m),68.90 inches (175 cm),United Kingdom
ryno liebenberg,19,7,1,48.1%,Orthodox,37,Unknown,Unknown,South Africa
Eva Leszko,0,1,0,0%,Orthodox,33,Unknown,Unknown,Slovakia
artie levine,52,15,5,50%,Orthodox,97,5.68 ft (1.73 m),Unknown,United States
Leo Levani,12,0,0,46.2%,Orthodox,33,Unknown,Unknown,Georgia
Clara Lescurat,7,0,0,42.9%,Orthodox,34,5.15 ft (1.57 m),Unknown,Argentina
gus lesnevich,60,14,5,29.1%,Orthodox,107,5.74 ft (1.75 m),Unknown,United States
chuck leslie,22,23,5,6%,Orthodox,Unknown,Unknown,Unknown,United States
sugar ray leonard,36,3,1,62.5%,Orthodox,66,5.84 ft (1.78 m),74.02 inches (188 cm),United States
benny leonard,185,22,12,32%,Orthodox,126,5.41 ft (1.65 m),68.90 inches (175 cm),United States
Wilmer Leon,1,0,0,0%,Orthodox,Unknown,Unknown,Unknown,"Bolivia, Plurinational State of"
Martin Leon,0,0,0,0%,Orthodox,20,Unknown,Unknown,Mexico
angelo leo,19,0,0,47.4%,Unknown,28,Unknown,Unknown,United States
Yann Lenvo,0,0,0,0%,Orthodox,Unknown,Unknown,Unknown,"Congo, the Democratic Republic of the"
kevin lerena,25,1,0,46.2%,Unknown,30,Unknown,Unknown,South Africa
Enzo Lemos,0,1,0,0%,Orthodox,Unknown,Unknown,Unknown,Argentina
Gustavo Andres Lemos,0,1,0,0%,Orthodox,Unknown,Unknown,Unknown,Argentina
kerman lejarraga,31,2,0,72.7%,Unknown,Unknown,Unknown,Unknown,Spain
david lemieux,41,4,0,72.3%,Orthodox,33,5.81 ft (1.77 m),70.08 inches (178 cm),Canada
Alfred Leisure,0,0,0,0%,Orthodox,Unknown,Unknown,Unknown,United States
Nicolas Ledesma,1,1,0,0%,Orthodox,Unknown,Unknown,Unknown,Argentina
scott ledoux,33,13,4,44%,Orthodox,73,6.14 ft (1.87 m),79.92 inches (203 cm),United States
Katharina Lehner,1,0,0,0%,Orthodox,Unknown,Unknown,Unknown,Germany
luis lebron,2,1,0,33.3%,Unknown,Unknown,Unknown,Unknown,Puerto Rico
andy lee,34,3,1,63.2%,Southpaw,38,6.17 ft (1.88 m),Unknown,Ireland
jose legra,133,11,4,33.8%,Orthodox,79,5.68 ft (1.73 m),62.99 inches (160 cm),Cuba
Nestor Lopez Caballero,7,0,0,14.3%,Orthodox,Unknown,Unknown,Unknown,Mexico
denis lebedev,33,3,0,64.9%,Southpaw,43,5.91 ft (1.80 m),Unknown,Russian Federation
erik leander,11,2,0,61.5%,Orthodox,43,Unknown,Unknown,United States
Leon Lawson III,1,0,0,100%,Orthodox,Unknown,Unknown,Unknown,United States
Quincy LaVallais,1,0,0,100%,Orthodox,28,Unknown,Unknown,United States
pat lawlor,23,16,1,17.5%,Orthodox,58,Unknown,Unknown,United States
billy lauder,20,17,2,7.7%,Southpaw,65,5.84 ft (1.78 m),Unknown,United Kingdom
Jose Lastra,0,0,0,0%,Orthodox,Unknown,Unknown,Unknown,Argentina
phil lashley,9,46,1,10.7%,Orthodox,57,5.41 ft (1.65 m),Unknown,United Kingdom
Zamy Larry,0,0,0,0%,Orthodox,Unknown,Unknown,Unknown,United States
erislandy lara,26,3,3,46.9%,Southpaw,39,5.74 ft (1.75 m),75.20 inches (191 cm),Cuba
tippy larkin,137,15,1,39%,Orthodox,104,5.58 ft (1.70 m),70.87 inches (180 cm),United States
Limbani Lano,0,0,0,0%,Orthodox,Unknown,Unknown,Unknown,Malawi
William Langston,0,0,0,0%,Orthodox,Unknown,Unknown,Unknown,United States
kenny lane,82,16,2,19%,Southpaw,90,5.41 ft (1.65 m),Unknown,United States
jose landin,18,2,1,38.1%,Orthodox,50,Unknown,Unknown,United States
Claudia Rosana Landaida,0,1,1,0%,Orthodox,24,Unknown,Unknown,Argentina
Stephen Michael Landeros,0,0,0,0%,Orthodox,Unknown,Unknown,Unknown,United States
Ricardo Landeros,0,3,0,0%,Orthodox,Unknown,Unknown,Unknown,Mexico
Frangherson Landaeta,0,0,0,0%,Orthodox,Unknown,Unknown,Unknown,"Venezuela, Bolivarian Republic of"
jake lamotta,83,19,4,28.3%,Orthodox,101,5.68 ft (1.73 m),66.93 inches (170 cm),United States
ladumo lamati,13,0,1,50%,Unknown,30,Unknown,Unknown,South Africa
Yassine Lakmire,0,0,0,0%,Orthodox,Unknown,Unknown,Unknown,Morocco
Vanja Lakic,0,1,0,0%,Orthodox,Unknown,Unknown,Unknown,Bosnia and Herzegovina
Margit Lakatos,0,1,0,0%,Orthodox,Unknown,Unknown,Unknown,Slovakia
kirkland laing,43,12,1,42.9%,Orthodox,68,Unknown,Unknown,United Kingdom
kristian laight,9,190,7,0%,Orthodox,42,5.84 ft (1.78 m),Unknown,United Kingdom
ismael laguna,65,9,1,49.3%,Orthodox,79,5.74 ft (1.75 m),68.11 inches (173 cm),Panama
Micaela Joana Lagos,0,0,0,0%,Orthodox,24,Unknown,Unknown,Argentina
Brian Nicolas Laguna,4,7,0,23.1%,Orthodox,29,Unknown,Unknown,Argentina
bilal laggoune,24,1,2,48.1%,Orthodox,29,Unknown,Unknown,Belgium
fred ladd,45,11,0,58.9%,Orthodox,50,5.91 ft (1.80 m),70.87 inches (180 cm),United States
Pedro Laborde,0,3,0,0%,Orthodox,Unknown,Unknown,Unknown,Argentina
Exequiel Labat,0,0,0,0%,Orthodox,25,Unknown,Unknown,Argentina
Gocha Kvirikashvili,0,0,0,0%,Orthodox,24,Unknown,Unknown,Georgia
fidel labarba,73,15,7,16.8%,Orthodox,116,5.25 ft (1.60 m),66.14 inches (168 cm),United States
Sergey Kuzmin,15,1,0,57.9%,Unknown,35,6.33 ft (1.93 m),75.59 inches (192 cm),Russian Federation
Vladimir Kuvaev,0,0,0,0%,Orthodox,Unknown,Unknown,Unknown,Russian Federation
magomed kurbanov,17,0,0,55.6%,Unknown,Unknown,5.81 ft (1.77 m),Unknown,Russian Federation
keita kurihara,13,5,0,57.9%,Orthodox,29,Unknown,Unknown,Japan
yusaku kuga,19,4,1,52%,Orthodox,31,Unknown,Unknown,Japan
Artur Kubiak,0,0,0,0%,Orthodox,Unknown,Unknown,Unknown,Poland
dmitry kudryashov,24,3,0,85.2%,Orthodox,36,6.20 ft (1.89 m),Unknown,Russian Federation
Vera Kubickova,0,0,0,0%,Orthodox,Unknown,Unknown,Unknown,Czech Republic
jack kriss,16,10,1,33.3%,Orthodox,Unknown,Unknown,Unknown,Australia
solly krieger,82,25,6,47.8%,Orthodox,113,5.68 ft (1.73 m),68.11 inches (173 cm),United States
adam kownacki,20,1,0,71.4%,Orthodox,33,6.27 ft (1.91 m),Unknown,United States
Anastasiia Kovalchuk,0,0,0,0%,Orthodox,Unknown,Unknown,Unknown,Ukraine
robin krasniqi,49,6,0,30.9%,Orthodox,35,6.10 ft (1.86 m),74.02 inches (188 cm),Germany
Klaudia Kovacs,0,1,0,0%,Orthodox,Unknown,Unknown,Unknown,Slovakia
Aleksandar Kovacevic,0,0,0,0%,Unknown,32,Unknown,Unknown,Serbia
sergey kovalev,34,4,1,72.5%,Orthodox,39,6.00 ft (1.83 m),72.44 inches (184 cm),Russian Federation
Mvuzo Kotobe,0,0,0,0%,Orthodox,Unknown,Unknown,Unknown,South Africa
david kotey,43,7,2,46.2%,Orthodox,71,5.61 ft (1.71 m),Unknown,Ghana
Attila Koros,0,0,0,0%,Orthodox,28,Unknown,Unknown,Hungary
matt korobov,28,3,1,43.8%,Southpaw,39,5.91 ft (1.80 m),70.47 inches (179 cm),Russian Federation
Shervantaigh Koopman,0,0,0,0%,Orthodox,Unknown,Unknown,Unknown,South Africa
kohei kono,33,11,1,28.3%,Orthodox,41,5.45 ft (1.66 m),66.93 inches (170 cm),Japan
Elie Konki,0,0,0,0%,Orthodox,30,Unknown,Unknown,France
Iliyan Kolev,0,0,0,0%,Orthodox,Unknown,Unknown,Unknown,Bulgaria
Elizabeta Konaj,0,0,0,0%,Orthodox,Unknown,Unknown,Unknown,Croatia
theunis kok,14,5,0,63.2%,Orthodox,64,Unknown,Unknown,South Africa
Danijel Kokora,0,0,0,0%,Orthodox,32,Unknown,Unknown,Serbia
Darko Kojic,0,0,0,0%,Orthodox,34,Unknown,Unknown,Bosnia and Herzegovina
andy kolle,26,5,0,58.1%,Southpaw,40,6.07 ft (1.85 m),Unknown,United States
yuki strong kobayashi,9,5,0,35.7%,Orthodox,31,Unknown,Unknown,Japan
Roarke Alexander Knapp,0,0,0,0%,Orthodox,Unknown,Unknown,Unknown,South Africa
Olja Kljajic,0,1,0,0%,Orthodox,Unknown,Unknown,Unknown,Serbia
Michelle Klich,0,0,0,0%,Orthodox,Unknown,Unknown,Unknown,Germany
wladimir klitschko,64,5,0,76.8%,Orthodox,46,6.50 ft (1.98 m),81.10 inches (206 cm),Ukraine
joe knight,103,19,11,38.1%,Southpaw,113,5.97 ft (1.82 m),Unknown,United States
Alina Kiselova,0,0,0,0%,Orthodox,Unknown,Unknown,Unknown,Ukraine
arthur king,63,13,0,26.3%,Orthodox,95,5.61 ft (1.71 m),68.90 inches (175 cm),Canada
johnny king,7,4,0,45.5%,Unknown,Unknown,Unknown,Unknown,United Kingdom
ye-joon kim,17,1,2,45%,Unknown,29,5.35 ft (1.63 m),Unknown,"Korea, Republic of"
Selemani Kidunda,0,0,0,0%,Orthodox,Unknown,Unknown,Unknown,"Tanzania, United Republic of"
ievgen khytrov,19,2,0,76.2%,Orthodox,34,5.91 ft (1.80 m),64.96 inches (165 cm),United States
Yassine Khedim,0,0,0,0%,Orthodox,34,Unknown,Unknown,France
cocoa kid,176,56,11,19.6%,Orthodox,108,5.87 ft (1.79 m),Unknown,United States
Vitali Klitschko,45,2,0,87.2%,Orthodox,51,6.59 ft (2.01 m),79.13 inches (201 cm),Ukraine
gevorg khatchikian,26,3,0,41.4%,Orthodox,34,Unknown,Unknown,Netherlands
Denis Khamatov,0,0,0,0%,Orthodox,32,Unknown,Unknown,Russian Federation
amir khan,34,5,0,53.8%,Orthodox,35,5.71 ft (1.74 m),70.87 inches (180 cm),United Kingdom
mikkel kessler,46,3,0,71.4%,Orthodox,43,6.07 ft (1.85 m),74.02 inches (188 cm),Denmark
Adriana Keri,0,1,0,0%,Orthodox,26,Unknown,Unknown,Serbia
DeShawn Kennedy,0,0,0,0%,Orthodox,23,Unknown,Unknown,United States
Saleem Kelly,0,0,0,0%,Orthodox,Unknown,Unknown,Unknown,United States
josh kelly,10,0,1,50%,Unknown,28,5.84 ft (1.78 m),Unknown,United Kingdom
milford kemp,12,6,3,23.8%,Orthodox,Unknown,Unknown,Unknown,United States
Simon Kean,16,1,0,83.3%,Orthodox,33,Unknown,Unknown,Canada
luke keeler,17,3,1,23.8%,Unknown,35,Unknown,Unknown,Ireland
egidijus kavaliauskas,22,1,1,75%,Orthodox,34,5.74 ft (1.75 m),70.87 inches (180 cm),Lithuania
Erick Tshimanga Katompa,0,0,0,0%,Orthodox,Unknown,Unknown,Unknown,"Congo, the Democratic Republic of the"
youri kayembre kalenga,24,6,0,56.7%,Orthodox,34,6.04 ft (1.84 m),Unknown,France
fred kassi,18,7,1,38.5%,Orthodox,42,6.00 ft (1.83 m),Unknown,Cameroon
Alphonse Kashoba,0,0,0,0%,Orthodox,Unknown,Unknown,Unknown,"Congo, the Democratic Republic of the"
yury kashinsky,18,1,0,89.5%,Unknown,36,6.17 ft (1.88 m),Unknown,Russian Federation
Ntumba Kanda,0,0,0,0%,Orthodox,Unknown,Unknown,Unknown,"Congo, the Democratic Republic of the"
Keiichi Kanayama,0,0,0,0%,Orthodox,38,Unknown,Unknown,Japan
Erna Kamenica,0,0,0,0%,Orthodox,Unknown,Unknown,Unknown,Bosnia and Herzegovina
tomoki kameda,36,3,0,51.3%,Orthodox,31,5.58 ft (1.70 m),66.14 inches (168 cm),Japan
george kambosos jnr,17,0,0,42.9%,Orthodox,Unknown,Unknown,Unknown,Australia
louis 'kid' kaplan,121,23,20,17%,Orthodox,120,5.15 ft (1.57 m),62.60 inches (159 cm),United States
Mwawi Kamanga,0,0,0,0%,Orthodox,Unknown,Unknown,Unknown,Malawi
Emmany Kalombo,0,0,0,0%,Orthodox,Unknown,Unknown,Unknown,"Congo, the Democratic Republic of the"
sumbu kalambay,57,6,1,51.6%,Orthodox,66,5.74 ft (1.75 m),72.05 inches (183 cm),Italy
ayub kalule,46,4,0,46%,Southpaw,68,5.68 ft (1.73 m),72.83 inches (185 cm),Uganda
Kisaka Kalala,0,5,0,0%,Orthodox,Unknown,Unknown,Unknown,"Congo, the Democratic Republic of the"
radivoje kalajdzic,24,2,0,65.4%,Orthodox,31,6.17 ft (1.88 m),Unknown,United States
Nawaphon Kaikanha,43,1,1,73.9%,Orthodox,30,Unknown,Unknown,Thailand
Cedric Kadima,0,0,0,0%,Orthodox,Unknown,Unknown,Unknown,"Congo, the Democratic Republic of the"
Konrad Kaczmarkiewicz,0,0,0,0%,Orthodox,Unknown,Unknown,Unknown,Poland
Aristote Ntumba Kabeya,5,2,0,57.1%,Orthodox,Unknown,Unknown,Unknown,"Congo, the Democratic Republic of the"
Kabua Kabikila,0,1,0,0%,Orthodox,Unknown,Unknown,Unknown,"Congo, the Democratic Republic of the"
agit kabayel,20,0,0,61.9%,Orthodox,29,6.27 ft (1.91 m),Unknown,Germany
Orly Kabamba,0,0,0,0%,Orthodox,Unknown,Unknown,Unknown,"Congo, the Democratic Republic of the"
Arblin Kaba,0,0,0,0%,Orthodox,Unknown,Unknown,Unknown,Albania
Farrukh Juraev,0,0,0,0%,Orthodox,30,Unknown,Unknown,Uzbekistan
Lili Jumali,0,0,0,0%,Orthodox,Unknown,Unknown,Unknown,Georgia
Wilson Julio,1,3,0,25%,Orthodox,Unknown,Unknown,Unknown,Colombia
peter judson,18,15,4,8.1%,Orthodox,52,5.58 ft (1.70 m),Unknown,United Kingdom
zab judah,42,10,0,53.7%,Southpaw,44,5.61 ft (1.71 m),72.05 inches (183 cm),United States
Batyrzhan Jukembayev,15,0,0,66.7%,Orthodox,31,Unknown,Unknown,Kazakhstan
Jose Juarez Velazco,0,0,0,0%,Orthodox,Unknown,Unknown,Unknown,Mexico
Yorson Juarez Hernandez,3,0,0,66.7%,Orthodox,25,Unknown,Unknown,Costa Rica
Patricia Juarez Trejo,0,0,0,0%,Orthodox,41,Unknown,Unknown,Mexico
mariana juarez,54,9,4,26.9%,Orthodox,42,5.48 ft (1.67 m),Unknown,Mexico
floyd joyner,23,18,4,20%,Orthodox,89,6.17 ft (1.88 m),Unknown,United States
David Oliver Joyce,11,1,0,61.5%,Orthodox,35,Unknown,Unknown,Ireland
joe joyce,6,0,0,85.7%,Orthodox,36,Unknown,Unknown,United Kingdom
anthony joshua,24,1,0,88%,Orthodox,32,6.50 ft (1.98 m),82.01 inches (208.3 cm),United Kingdom
willie joyce,72,21,10,15.4%,Orthodox,104,5.51 ft (1.68 m),Unknown,United States
roy jones jr,0,1,0,0%,Unknown,53,5.91 ft (1.80 m),Unknown,United States
roy jones jr.,66,9,0,61.8%,Orthodox,53,5.91 ft (1.80 m),74.02 inches (188 cm),United States
tj jones,21,16,0,29.7%,Orthodox,Unknown,Unknown,Unknown,United States
Roshaun Jones,0,0,0,0%,Orthodox,39,Unknown,Unknown,United States
Oto Joseph,0,0,0,0%,Orthodox,29,Unknown,Unknown,Nigeria
Markus Rashad Jones,0,0,0,0%,Orthodox,Unknown,Unknown,Unknown,United States
barry jones,18,1,1,0%,Orthodox,48,5.58 ft (1.70 m),Unknown,United Kingdom
Isiah Jones,0,1,0,0%,Orthodox,28,Unknown,Unknown,United States
tureano johnson,21,2,1,60%,Orthodox,38,5.84 ft (1.78 m),73.62 inches (187 cm),Bahamas
stevie johnston,42,6,1,36.7%,Southpaw,49,5.38 ft (1.64 m),68.50 inches (174 cm),United States
callum johnson,18,1,0,68.4%,Orthodox,37,Unknown,Unknown,United Kingdom
harold johnson,76,11,0,36.8%,Orthodox,94,5.84 ft (1.78 m),74.02 inches (188 cm),United States
Kevin Jerel Johnson,0,0,0,0%,Orthodox,Unknown,Unknown,Unknown,United States
dujuan johnson,21,3,0,70.8%,Orthodox,61,5.71 ft (1.74 m),72.05 inches (183 cm),United States
Rakim Johnson,0,0,0,0%,Orthodox,26,Unknown,Unknown,United States
eric johnson,20,2,0,39.1%,Unknown,29,Unknown,Unknown,United States
glen johnson,54,20,2,48.7%,Orthodox,53,5.74 ft (1.75 m),75.20 inches (191 cm),Jamaica
chris john,49,1,3,43.4%,Orthodox,42,5.54 ft (1.69 m),68.90 inches (175 cm),Indonesia
bilel jkitou,0,0,0,0%,Unknown,Unknown,Unknown,Unknown,France
ingemar johansson,26,2,0,60.7%,Orthodox,89,6.04 ft (1.84 m),72.05 inches (183 cm),Sweden
Hogan Jimoh Junior,0,0,0,0%,Orthodox,Unknown,Unknown,Unknown,Nigeria
eder jofre,72,2,4,64.1%,Orthodox,86,5.35 ft (1.63 m),66.14 inches (168 cm),Brazil
Carlos Mitzael Jimenez Vazquez,0,0,0,0%,Orthodox,29,Unknown,Unknown,Puerto Rico
Ivan Jimenez,0,0,0,0%,Orthodox,Unknown,Unknown,Unknown,Cuba
Giodanny Jimenez,0,0,0,0%,Orthodox,Unknown,Unknown,Unknown,"Venezuela, Bolivarian Republic of"
ulysses jimenez,20,18,4,16.7%,Orthodox,Unknown,Unknown,Unknown,Puerto Rico
Eduardo Jimenez,0,2,0,0%,Orthodox,Unknown,Unknown,Unknown,Mexico
Everardo Jhoao,0,0,0,0%,Orthodox,Unknown,Unknown,Unknown,Mexico
terry jesmer,17,30,2,24.5%,Orthodox,68,Unknown,Unknown,Canada
bryant jennings,24,3,0,51.9%,Orthodox,37,6.27 ft (1.91 m),83.86 inches (213 cm),United States
Quadeer Jenkins,0,0,0,0%,Orthodox,28,Unknown,Unknown,United States
marvin jenkins,13,13,2,10.7%,Orthodox,67,5.58 ft (1.70 m),Unknown,United States
chris jenkins,21,2,2,29.6%,Orthodox,34,5.74 ft (1.75 m),Unknown,United Kingdom
ben jeby,54,14,4,30.1%,Orthodox,112,5.84 ft (1.78 m),70.08 inches (178 cm),United States
Anja Jankovic,0,0,0,0%,Orthodox,Unknown,Unknown,Unknown,Bosnia and Herzegovina
brian janssen,26,3,2,48.4%,Orthodox,60,Unknown,Unknown,Australia
jamal james,27,1,0,41.4%,Orthodox,34,6.17 ft (1.88 m),Unknown,United States
Rogelio Gabriel Javier,0,1,0,0%,Orthodox,27,Unknown,Unknown,Argentina
Zorana Jakovnevic,0,0,0,0%,Orthodox,Unknown,Unknown,Unknown,Serbia
Bernardin Jakaj,0,0,0,0%,Orthodox,25,Unknown,Unknown,Kosovo
Yurmary Jaramillo,1,0,0,0%,Orthodox,Unknown,Unknown,Unknown,"Venezuela, Bolivarian Republic of"
Kirkulyn James,0,0,0,0%,Orthodox,Unknown,Unknown,Unknown,United States
Kim Angelina Jaeckel,0,0,0,0%,Orthodox,Unknown,Unknown,Unknown,Germany
izzy jannazzo,65,46,15,6.3%,Orthodox,107,5.71 ft (1.74 m),71.65 inches (182 cm),United States
phil jackson,44,13,0,65.5%,Orthodox,58,6.07 ft (1.85 m),79.13 inches (201 cm),United States
daniel jacobs,36,3,0,75%,Orthodox,35,6.07 ft (1.85 m),72.83 inches (185 cm),United States
david jaco,24,25,1,38%,Orthodox,65,6.50 ft (1.98 m),Unknown,United States
young peter jackson,57,19,4,35.4%,Orthodox,110,5.58 ft (1.70 m),Unknown,United States
beau jack,89,24,6,36.1%,Orthodox,101,5.51 ft (1.68 m),68.50 inches (174 cm),United States
badou jack,22,3,3,44.8%,Orthodox,38,6.07 ft (1.85 m),75.98 inches (193 cm),Sweden
luke jackson,7,1,0,50%,Orthodox,37,5.54 ft (1.69 m),Unknown,Australia
david izon,27,6,0,69.7%,Orthodox,54,6.27 ft (1.91 m),83.07 inches (211 cm),Nigeria
Takafumi Izumiya,0,0,0,0%,Orthodox,31,Unknown,Unknown,Japan
ryosuke iwasa,27,3,0,54.8%,Southpaw,32,5.58 ft (1.70 m),70.47 inches (179 cm),Japan
Aleksandra Ivanovic,0,0,0,0%,Orthodox,Unknown,Unknown,Unknown,Montenegro
julian jackson,55,6,0,80.3%,Orthodox,61,5.97 ft (1.82 m),72.83 inches (185 cm),"Virgin Islands, U.S."
petro ivanov,9,0,0,66.7%,Unknown,Unknown,Unknown,Unknown,Ukraine
derek isaman,15,1,0,56.3%,Orthodox,55,6.17 ft (1.88 m),Unknown,United States
masayuki ito,25,2,1,46.4%,Orthodox,31,5.71 ft (1.74 m),Unknown,Japan
kanat islam,26,0,0,76.9%,Orthodox,37,5.84 ft (1.78 m),Unknown,Kazakhstan
Tomas Fermin Irusta,3,0,1,25%,Orthodox,Unknown,Unknown,Unknown,Argentina
Ignacio David Iribarren,4,0,1,40%,Orthodox,Unknown,Unknown,Unknown,Argentina
Martin Irace,0,2,0,0%,Orthodox,Unknown,Unknown,Unknown,Argentina
Axel Emanuel Isla,2,0,0,0%,Orthodox,Unknown,Unknown,Unknown,Argentina
Aso Ishiwaki,0,0,0,0%,Orthodox,23,Unknown,Unknown,Japan
takuma inoue,13,1,0,21.4%,Orthodox,26,Unknown,Unknown,Japan
takeshi inoue,12,1,1,42.9%,Orthodox,32,Unknown,Unknown,Japan
ionut dan ion,34,5,0,46.2%,Southpaw,41,5.91 ft (1.80 m),Unknown,Romania
sho ishida,27,2,0,46.7%,Orthodox,30,5.61 ft (1.71 m),Unknown,Japan
paul ingle,23,2,0,64%,Orthodox,50,5.41 ft (1.65 m),66.93 inches (170 cm),United Kingdom
naoya inoue,20,0,0,85%,Orthodox,29,5.35 ft (1.63 m),66.93 inches (170 cm),Japan
amir imam,19,2,0,76.2%,Orthodox,31,5.91 ft (1.80 m),Unknown,United States
Jovana Ignjatovic,0,0,0,0%,Orthodox,Unknown,Unknown,Unknown,Serbia
ismail iliev,12,2,0,21.4%,Unknown,Unknown,Unknown,Unknown,Russian Federation
johnny indrisano,49,9,3,16.4%,Orthodox,116,5.68 ft (1.73 m),Unknown,United States
faisal ibnel arrami,18,5,0,43.5%,Orthodox,38,Unknown,Unknown,France
aslambek idigov,9,0,0,33.3%,Orthodox,26,5.64 ft (1.72 m),Unknown,Russian Federation
ben ileyemi,2,0,1,33.3%,Orthodox,34,6.00 ft (1.83 m),Unknown,United Kingdom
Jose Israel Ibarra,0,1,0,0%,Orthodox,Unknown,Unknown,Unknown,United States
Gisela Ibanez,0,3,0,0%,Orthodox,24,Unknown,Unknown,Argentina
Lira Huyke,0,0,0,0%,Orthodox,Unknown,Unknown,Unknown,Colombia
mian hussain,10,2,0,41.7%,Southpaw,32,Unknown,Unknown,Canada
sherzod husanov,19,1,1,38.1%,Orthodox,42,5.91 ft (1.80 m),Unknown,Uzbekistan
michael hunter,18,1,1,60%,Orthodox,34,6.17 ft (1.88 m),Unknown,United States
Franco David Ibarra,0,2,0,0%,Orthodox,Unknown,Unknown,Unknown,Argentina
charles humez,94,7,1,45.6%,Orthodox,95,5.74 ft (1.75 m),70.87 inches (180 cm),France
justyn hugh,11,2,1,28.6%,Orthodox,38,5.91 ft (1.80 m),Unknown,United Kingdom
Gary Hudson,0,0,0,0%,Orthodox,Unknown,Unknown,Unknown,United States
maxi hughes,16,4,2,8.7%,Southpaw,32,Unknown,Unknown,United Kingdom
jarrett hurd,24,1,0,64%,Orthodox,31,5.74 ft (1.75 m),Unknown,United States
Nikola Hubalkova,0,0,0,0%,Orthodox,Unknown,Unknown,Unknown,Czech Republic
ace hudkins,68,20,13,24.5%,Unknown,116,5.71 ft (1.74 m),68.11 inches (173 cm),United States
caleb hunter plant,21,0,0,52.4%,Orthodox,30,6.07 ft (1.85 m),74.02 inches (188 cm),United States
Eva Hrkotova,0,3,0,0%,Orthodox,29,Unknown,Unknown,Czech Republic
Filip Hrgovic,9,0,0,77.8%,Orthodox,30,Unknown,Unknown,Croatia
Mirleydis Maria Hoyos,0,0,0,0%,Orthodox,Unknown,Unknown,Unknown,Colombia
nathan howard,6,0,0,66.7%,Unknown,28,Unknown,Unknown,United States
azat hovhannisyan,18,3,0,71.4%,Orthodox,34,5.48 ft (1.67 m),66.54 inches (169 cm),Armenia
charles hostetter,16,12,0,28.6%,Orthodox,65,6.17 ft (1.88 m),Unknown,United States
lonnie horn,26,4,0,46.7%,Orthodox,66,Unknown,Unknown,United States
al hostak,64,9,11,48.8%,Orthodox,106,6.00 ft (1.83 m),Unknown,United States
jeff horn,20,2,1,54.2%,Orthodox,34,5.74 ft (1.75 m),68.11 inches (173 cm),Australia
eddie hopson,30,2,0,43.8%,Southpaw,51,5.35 ft (1.63 m),61.81 inches (157 cm),United States
Marie Pier Houle,0,0,0,0%,Orthodox,Unknown,Unknown,Unknown,Canada
maurice hooker,26,1,3,56.3%,Orthodox,33,Unknown,Unknown,United States
lloyd honeyghan,43,5,0,62.5%,Orthodox,62,5.68 ft (1.73 m),68.90 inches (175 cm),United Kingdom
bernard hopkins,55,8,2,47.8%,Orthodox,57,6.07 ft (1.85 m),75.20 inches (191 cm),United States
Chiedza Homakoma,0,0,0,0%,Orthodox,29,Unknown,Unknown,Zimbabwe
evander holyfield,44,10,2,50.9%,Orthodox,59,6.20 ft (1.89 m),77.95 inches (198 cm),United States
larry holmes,69,6,0,58.7%,Orthodox,72,6.23 ft (1.90 m),81.10 inches (206 cm),United States
Dallas Holden,0,0,0,0%,Orthodox,26,Unknown,Unknown,United Kingdom
keith holmes,41,5,0,54.3%,Southpaw,53,6.17 ft (1.88 m),77.95 inches (198 cm),United States
Placido Hoff,0,0,0,0%,Orthodox,30,Unknown,Unknown,United States
dennis hogan,28,3,1,21.9%,Orthodox,37,5.68 ft (1.73 m),71.65 inches (182 cm),Australia
Nhlonipho Hlubi,0,0,0,0%,Orthodox,Unknown,Unknown,Unknown,South Africa
Taichi Hirata,0,0,0,0%,Orthodox,28,Unknown,Unknown,Japan
Takashi Hiraiwa,0,0,0,0%,Orthodox,25,Unknown,Unknown,Japan
hiroyuki hisataka,23,17,2,23.8%,Orthodox,37,5.38 ft (1.64 m),63.78 inches (162 cm),Japan
terry hinke,40,5,2,62.5%,Orthodox,72,6.33 ft (1.93 m),Unknown,United States
hubert hilton,19,10,2,38.7%,Orthodox,83,6.07 ft (1.85 m),Unknown,United States
