"","Rank","Player1","Opponent1","Gender","Category","Matches","Wins","Losses","Points For","Points Against","Difference","Year","Player2","Opponent2"
"406",6,"LEE So Hee","CHANG Ye Na","Women","Doubles",2,1,1,96,93,3,2020,"SHIN Seung Chan","KIM Hye Rin"
"407",7,"KIM So Yeong","HSU Ya Ching","Women","Doubles",2,2,0,86,64,22,2020,"KONG Hee Yong","HU Ling Fang"
"408",9,"Gabriela STOEVA","Alexandra BØJE","Women","Doubles",2,2,0,84,44,40,2020,"Stefani STOEVA","Mette POULSEN"
"409",9,"CHEN Qingchen","Gabriela STOEVA","Women","Doubles",2,2,0,84,49,35,2020,"JIA Yifan","Stefani STOEVA"
"410",9,"Siti Fadia Silva RAMADHANTI","Pooja DANDU","Women","Doubles",2,2,0,84,47,37,2020,"Ribka SUGIARTO","SANJANA SANTOSH"
"411",9,"DU Yue","CHOW Mei Kuan","Women","Doubles",2,2,0,84,57,27,2020,"LI Yinhui","LEE Meng Yean"
"412",12,"CHANG Ye Na","Greysia POLII","Women","Doubles",2,1,1,80,74,6,2020,"KIM Hye Rin","Apriyani RAHAYU"
"413",13,"Puttita SUPAJIRAKUL","DU Yue","Women","Doubles",2,1,1,74,71,3,2020,"Sapsiree TAERATTANACHAI","LI Yinhui"
"414",14,"LEE So Hee","BAEK Ha Na","Women","Doubles",1,1,0,71,64,7,2020,"SHIN Seung Chan","JUNG Kyung Eun"
"415",15,"LEE So Hee","Ekaterina BOLOTOVA","Women","Doubles",1,1,0,67,61,6,2020,"SHIN Seung Chan","Alina DAVLETOVA"
"416",15,"Misaki MATSUTOMO","LEE So Hee","Women","Doubles",1,1,0,67,52,15,2020,"Ayaka TAKAHASHI","SHIN Seung Chan"
"417",18,"Maiken FRUERGAARD","Clara NISTAD","Women","Doubles",1,1,0,64,56,8,2020,"Sara THYGESEN","Moa SJOO"
"418",18,"Alexandra BØJE","Linda EFLER","Women","Doubles",1,1,0,64,59,5,2020,"Mette POULSEN","Isabel HERTTRICH"
"419",18,"Greysia POLII","LIU Xuanxuan","Women","Doubles",1,1,0,64,56,8,2020,"Apriyani RAHAYU","XIA Yuting"
"420",18,"Greysia POLII","BAEK Ha Na","Women","Doubles",1,1,0,64,60,4,2020,"Apriyani RAHAYU","JUNG Kyung Eun"
"421",22,"KIM So Yeong","Chayanit CHALADCHALAM","Women","Doubles",1,1,0,63,55,8,2020,"KONG Hee Yong","Phataimas MUENWONG"
"422",22,"Martina REPISKA","Liana LENCEVICA","Women","Doubles",1,1,0,63,60,3,2020,"Katarina VARGOVA","Jekaterina ROMANOVA"
"423",22,"CHANG Ye Na","Vivian HOO","Women","Doubles",1,1,0,63,54,9,2020,"KIM Hye Rin","YAP Cheng Wen"
"424",24,"Greysia POLII","HSU Ya Ching","Women","Doubles",1,1,0,62,52,10,2020,"Apriyani RAHAYU","HU Ling Fang"
"425",24,"Greysia POLII","Chloe BIRCH","Women","Doubles",1,1,0,62,48,14,2020,"Apriyani RAHAYU","Lauren SMITH"
"426",1,"Shesar Hiren RHUSTAVITO","KIDAMBI Srikanth","Men","Singles",2,2,0,114,93,21,2020,NA,NA
"427",2,"Kenta NISHIMOTO","CHEAM June Wei","Men","Singles",2,1,1,111,97,14,2020,NA,NA
"428",3,"Hans-Kristian Solberg VITTINGHUS","Lakshya SEN","Men","Singles",2,2,0,110,98,12,2020,NA,NA
"429",4,"SHI Yuqi","NG Ka Long Angus","Men","Singles",2,1,1,106,99,7,2020,NA,NA
"430",5,"LIEW Daren","PRANNOY H. S.","Men","Singles",2,2,0,104,91,13,2020,NA,NA
"431",5,"CHOU Tien Chen","KIDAMBI Srikanth","Men","Singles",2,2,0,104,73,31,2020,NA,NA
"432",7,"Vladimir MALKOV","Nhat NGUYEN","Men","Singles",2,2,0,102,92,10,2020,NA,NA
"433",7,"Anders ANTONSEN","Rasmus GEMKE","Men","Singles",2,2,0,102,75,27,2020,NA,NA
"434",9,"Kanta TSUNEYAMA","CHOU Tien Chen","Men","Singles",2,1,1,100,95,5,2020,NA,NA
"435",10,"LEE Zii Jia","HEO Kwang Hee","Men","Singles",2,1,1,98,80,18,2020,NA,NA
"436",10,"HUANG Yuxiang","Jan O JORGENSEN","Men","Singles",2,2,0,98,92,6,2020,NA,NA
"437",12,"WANG Tzu Wei","Kenta NISHIMOTO","Men","Singles",2,1,1,97,88,9,2020,NA,NA
"438",12,"SUN Feixiang","Brice LEVERDEZ","Men","Singles",2,1,1,97,84,13,2020,NA,NA
"439",14,"Rasmus GEMKE","Max WEISSKIRCHEN","Men","Singles",2,1,1,96,88,8,2020,NA,NA
"440",15,"Toma Junior POPOV","Thomas ROUXEL","Men","Singles",2,1,1,93,84,9,2020,NA,NA
"441",16,"NG Ka Long Angus","Kenta NISHIMOTO","Men","Singles",2,1,1,91,88,3,2020,NA,NA
"442",17,"LEE Zii Jia","Sameer VERMA","Men","Singles",2,2,0,85,70,15,2020,NA,NA
"443",17,"Anders ANTONSEN","SON Wan Ho","Men","Singles",2,2,0,85,61,24,2020,NA,NA
"444",19,"Anthony Sinisuka GINTING","HUANG Yuxiang","Men","Singles",2,1,1,78,68,10,2020,NA,NA
"445",20,"Rasmus GEMKE","Kenta NISHIMOTO","Men","Singles",2,1,1,75,73,2,2020,NA,NA
"446",21,"Jonathan DOLAN","Martin BUNDGAARD","Men","Singles",1,1,0,67,63,4,2020,NA,NA
"447",22,"Anthony Sinisuka GINTING","HEO Kwang Hee","Men","Singles",1,1,0,64,59,5,2020,NA,NA
"448",24,"Brice LEVERDEZ","Jonathan DOLAN","Men","Singles",1,1,0,63,54,9,2020,NA,NA
"449",24,"LIN Yu Hsien","Sergey SIRANT","Men","Singles",1,1,0,63,55,8,2020,NA,NA
"450",24,"Giovanni TOTI","Luka BAN","Men","Singles",1,1,0,63,55,8,2020,NA,NA
"451",1,"Marcus Fernaldi GIDEON","Aaron CHIA","Men","Doubles",4,4,0,169,136,33,2020,"Kevin Sanjaya SUKAMULJO","SOH Wooi Yik"
"452",2,"Akira KOGA","HUANG Kaixiang","Men","Doubles",2,1,1,119,109,10,2020,"Taichi SAITO","LIU Cheng"
"453",3,"LEE Yang","Mohammad AHSAN","Men","Doubles",2,0,2,114,113,1,2020,"WANG Chi-Lin","Hendra SETIAWAN"
"454",4,"Vladimir IVANOV","Marcus ELLIS","Men","Doubles",2,1,1,110,109,1,2020,"Ivan SOZONOV","Chris LANGRIDGE"
"455",5,"Jeppe BAY","Ruben JILLE","Men","Doubles",2,2,0,105,97,8,2020,"Lasse MØLHEDE","Ties VAN DER LECQ"
"456",6,"Kim ASTRUP","KIM Gi Jung","Men","Doubles",2,2,0,99,81,18,2020,"Anders Skaarup RASMUSSEN","LEE Yong Dae"
"457",9,"GOH V Shem","LIAO Min Chun","Men","Doubles",2,2,0,84,66,18,2020,"TAN Wee Kiong","SU Ching Heng"
"458",9,"Kim ASTRUP","Jelle MAAS","Men","Doubles",2,2,0,84,56,28,2020,"Anders Skaarup RASMUSSEN","Robin TABELING"
"459",9,"LEE Yang","Vladimir IVANOV","Men","Doubles",2,2,0,84,61,23,2020,"WANG Chi-Lin","Ivan SOZONOV"
"460",9,"KIM Gi Jung","LI Junhui","Men","Doubles",2,2,0,84,61,23,2020,"LEE Yong Dae","LIU Yuchen"
"461",9,"ONG Yew Sin","HAN Chengkai","Men","Doubles",2,2,0,84,66,18,2020,"TEO Ee Yi","ZHOU Haodong"
"462",9,"Fajar ALFIAN","Mathias BOE","Men","Doubles",2,2,0,84,67,17,2020,"Muhammad Rian ARDIANTO","Mads CONRAD-PETERSEN"
"463",13,"Mathias BOE","LEE Jhe-Huei","Men","Doubles",2,1,1,82,77,5,2020,"Mads CONRAD-PETERSEN","YANG Po-Hsuan"
"464",14,"Akira KOGA","LIAO Min Chun","Men","Doubles",1,1,0,68,57,11,2020,"Taichi SAITO","SU Ching Heng"
"465",15,"Sturla Flaten JORGENSEN","Oskari LARKIMO","Men","Doubles",1,1,0,67,59,8,2020,"Carl Christian MORK","Joakim OLDORFF"
"466",16,"Ruben JILLE","Eloi ADAM","Men","Doubles",1,1,0,66,59,7,2020,"Ties VAN DER LECQ","Julien MAIO"
"467",16,"Marcus Fernaldi GIDEON","Marcus ELLIS","Men","Doubles",1,1,0,66,57,9,2020,"Kevin Sanjaya SUKAMULJO","Chris LANGRIDGE"
"468",18,"Rowan SCHEURKOGEL","Serdar KOCA","Men","Doubles",1,1,0,65,58,7,2020,"Jona VAN NIEUWKERKE","Serhat SALIM"
"469",18,"LI Junhui","Mohammad AHSAN","Men","Doubles",1,1,0,65,63,2,2020,"LIU Yuchen","Hendra SETIAWAN"
"470",21,"Leo Rolly CARNANDO","Maneepong JONGJIT","Men","Doubles",1,1,0,64,59,5,2020,"Daniel MARTHIN","Krit TANTIANANKUL"
"471",21,"Jones Ralfy JANSEN","Muhammad Shohibul FIKRI","Men","Doubles",1,1,0,64,60,4,2020,"Peter KAESBAUER","Bagas MAULANA"
"472",21,"Takuro HOKI","CHOI SolGyu","Men","Doubles",1,1,0,64,62,2,2020,"Yugo KOBAYASHI","SEO Seung Jae"
"473",24,"Zach RUSS","Rasmus ESPERSEN","Men","Doubles",1,1,0,63,57,6,2020,"Steven STALLWOOD","Emil HYBEL"
"474",24,"ONG Yew Sin","OU Xuanyi","Men","Doubles",1,1,0,63,61,2,2020,"TEO Ee Yi","ZHANG Nan"
"475",24,"Gianmarco BAILETTI","Ariel SHAINSKI","Men","Doubles",1,1,0,63,52,11,2020,"David SALUTT","Misha ZILBERMAN"
"476",1,"Robin TABELING","Mathias CHRISTIANSEN","Mixed","Doubles",3,2,1,131,121,10,2020,"Selena PIEK","Alexandra BØJE"
"477",2,"Mathias CHRISTIANSEN","Mark LAMSFUSS","Mixed","Doubles",2,1,1,112,108,4,2020,"Alexandra BØJE","Isabel HERTTRICH"
"478",3,"Mathias CHRISTIANSEN","Niclas NOHR","Mixed","Doubles",2,2,0,107,85,22,2020,"Alexandra BØJE","Amalie MAGELUND"
"479",4,"KO Sung Hyun","YANG Po-Hsuan","Mixed","Doubles",2,2,0,104,78,26,2020,"EOM Hye Won","HU Ling Fang"
"480",5,"ZHENG Siwei","Pranaav Jerry CHOPRA","Mixed","Doubles",2,2,0,95,71,24,2020,"HUANG Yaqiong","REDDY N. Sikki"
"481",6,"WANG Yilyu","Ricky KARANDASUWARDI","Mixed","Doubles",2,2,0,88,60,28,2020,"HUANG Dongping","Pia Zebadiah BERNADET"
"482",7,"Dechapol PUAVARANUKROH","LEE Jhe-Huei","Mixed","Doubles",2,2,0,85,55,30,2020,"Sapsiree TAERATTANACHAI","HSU Ya Ching"
"483",9,"Marcus ELLIS","Rodion ALIMOV","Mixed","Doubles",2,2,0,84,53,31,2020,"Lauren SMITH","Alina DAVLETOVA"
"484",9,"ZHENG Siwei","Hafiz FAIZAL","Mixed","Doubles",2,2,0,84,52,32,2020,"HUANG Yaqiong","Gloria Emanuelle WIDJAJA"
"485",9,"ZHENG Siwei","WANG Yilyu","Mixed","Doubles",2,2,0,84,49,35,2020,"HUANG Yaqiong","HUANG Dongping"
"486",11,"Kyohei YAMASHITA","Mathias CHRISTIANSEN","Mixed","Doubles",1,1,0,72,59,13,2020,"Naru SHINOYA","Alexandra BØJE"
"487",12,"Marcus ELLIS","Gregory MAIRS","Mixed","Doubles",1,1,0,69,54,15,2020,"Lauren SMITH","Victoria WILLIAMS"
"488",13,"Mathias BAY-SMIDT","Vladimir IVANOV","Mixed","Doubles",1,1,0,68,59,9,2020,"Rikke SØBY","Ekaterina BOLOTOVA"
"489",14,"Marcus ELLIS","TANG Chun Man","Mixed","Doubles",1,1,0,67,57,10,2020,"Lauren SMITH","TSE Ying Suet"
"490",15,"CHOI SolGyu","WANG Chi-Lin","Mixed","Doubles",1,1,0,65,47,18,2020,"SHIN Seung Chan","CHENG Chi Ya"
"491",16,"Marcus ELLIS","GOH Soon Huat","Mixed","Doubles",1,1,0,64,62,2,2020,"Lauren SMITH","LAI Shevon Jemie"
"492",16,"Gregory MAIRS","Eloi ADAM","Mixed","Doubles",1,1,0,64,61,3,2020,"Victoria WILLIAMS","Margot LAMBERT"
"493",20,"Philip BIRKER","Alexander DUNN","Mixed","Doubles",1,1,0,63,63,0,2020,"Katharina HOCHMEIR","Ciara TORRANCE"
"494",20,"Niclas NOHR","Adam HALL","Mixed","Doubles",1,1,0,63,53,10,2020,"Amalie MAGELUND","Julie MACPHERSON"
"495",20,"Hafiz FAIZAL","TAN Kian Meng","Mixed","Doubles",1,1,0,63,59,4,2020,"Gloria Emanuelle WIDJAJA","LAI Pei Jing"
"496",20,"Praveen JORDAN","Marcus ELLIS","Mixed","Doubles",1,1,0,63,49,14,2020,"Melati Daeva OKTAVIANTI","Lauren SMITH"
"497",20,"Alexander DUNN","Philip BIRKER","Mixed","Doubles",1,0,1,63,63,0,2020,"Ciara TORRANCE","Katharina HOCHMEIR"
"498",24,"Adnan MAULANA","FENG Yanzhe","Mixed","Doubles",1,1,0,62,54,8,2020,"Mychelle Crhystine BANDASO","ZHANG Shuxian"
"499",24,"Thom GICQUEL","Mathias THYRRI","Mixed","Doubles",1,1,0,62,51,11,2020,"Delphine DELRUE","Mai SURROW"
"500",24,"Chris ADCOCK","Takuro HOKI","Mixed","Doubles",1,1,0,62,57,5,2020,"Gabrielle ADCOCK","Wakana NAGAHARA"
"501",1,"CHEN Yufei","Sayaka TAKAHASHI","Women","Singles",5,5,0,242,163,79,2019,NA,NA
"502",2,"CHEN Yufei","Akane YAMAGUCHI","Women","Singles",5,3,2,227,204,23,2019,NA,NA
"503",3,"TAI Tzu Ying","Nozomi OKUHARA","Women","Singles",5,3,2,223,206,17,2019,NA,NA
"504",4,"Ratchanok INTANON","TAI Tzu Ying","Women","Singles",5,2,3,222,210,12,2019,NA,NA
"505",5,"TAI Tzu Ying","Busanan ONGBAMRUNGPHAN","Women","Singles",5,5,0,210,139,71,2019,NA,NA
"506",5,"TAI Tzu Ying","CHEN Yufei","Women","Singles",5,3,2,210,208,2,2019,NA,NA
"507",7,"Ratchanok INTANON","CHEN Xiaoxin","Women","Singles",5,4,1,207,172,35,2019,NA,NA
"508",8,"Nozomi OKUHARA","Ratchanok INTANON","Women","Singles",5,3,2,203,196,7,2019,NA,NA
"509",9,"Ratchanok INTANON","Gregoria Mariska TUNJUNG","Women","Singles",4,4,0,201,166,35,2019,NA,NA
"510",10,"Busanan ONGBAMRUNGPHAN","CAI Yanyan","Women","Singles",4,4,0,200,158,42,2019,NA,NA
"511",11,"CHEN Yufei","Ratchanok INTANON","Women","Singles",4,4,0,196,163,33,2019,NA,NA
"512",12,"Akane YAMAGUCHI","HE Bingjiao","Women","Singles",4,4,0,191,140,51,2019,NA,NA
"513",13,"Ratchanok INTANON","Nitchaon JINDAPOL","Women","Singles",4,4,0,186,132,54,2019,NA,NA
"514",14,"Akane YAMAGUCHI","TAI Tzu Ying","Women","Singles",4,1,3,181,178,3,2019,NA,NA
"515",15,"Akane YAMAGUCHI","Pornpawee CHOCHUWONG","Women","Singles",4,2,2,176,171,5,2019,NA,NA
"516",16,"HE Bingjiao","Nitchaon JINDAPOL","Women","Singles",4,3,1,175,154,21,2019,NA,NA
"517",17,"TAI Tzu Ying","Gregoria Mariska TUNJUNG","Women","Singles",4,4,0,172,141,31,2019,NA,NA
"518",18,"CHEN Yufei","SUNG Ji Hyun","Women","Singles",4,4,0,168,127,41,2019,NA,NA
"519",19,"Ruselli HARTAWAN","CHIANG Ying Li","Women","Singles",3,3,0,167,139,28,2019,NA,NA
"520",20,"Nozomi OKUHARA","HE Bingjiao","Women","Singles",4,3,1,165,132,33,2019,NA,NA
"521",21,"LI Xuerui","Sayaka TAKAHASHI","Women","Singles",4,3,1,163,148,15,2019,NA,NA
"522",21,"CHEN Yufei","Michelle LI","Women","Singles",3,3,0,163,133,30,2019,NA,NA
"523",23,"HE Bingjiao","Fitriani FITRIANI","Women","Singles",3,3,0,162,122,40,2019,NA,NA
"524",23,"Nozomi OKUHARA","Busanan ONGBAMRUNGPHAN","Women","Singles",3,3,0,162,117,45,2019,NA,NA
"525",25,"Akane YAMAGUCHI","LI Xuerui","Women","Singles",3,2,1,157,134,23,2019,NA,NA
"526",1,"Yuki FUKUSHIMA","CHEN Qingchen","Women","Doubles",7,5,2,322,262,60,2019,"Sayaka HIROTA","JIA Yifan"
"527",2,"KIM So Yeong","Mayu MATSUMOTO","Women","Doubles",6,4,2,280,268,12,2019,"KONG Hee Yong","Wakana NAGAHARA"
"528",3,"CHEN Qingchen","Mayu MATSUMOTO","Women","Doubles",5,4,1,249,220,29,2019,"JIA Yifan","Wakana NAGAHARA"
"529",4,"Yuki FUKUSHIMA","DU Yue","Women","Doubles",5,4,1,239,196,43,2019,"Sayaka HIROTA","LI Yinhui"
"530",5,"Mayu MATSUMOTO","Yuki FUKUSHIMA","Women","Doubles",5,4,1,235,218,17,2019,"Wakana NAGAHARA","Sayaka HIROTA"
"531",6,"LEE So Hee","Jongkolphan KITITHARAKUL","Women","Doubles",5,5,0,231,162,69,2019,"SHIN Seung Chan","Rawinda PRAJONGJAI"
"532",7,"KIM So Yeong","CHEN Qingchen","Women","Doubles",5,3,2,230,221,9,2019,"KONG Hee Yong","JIA Yifan"
"533",8,"Misaki MATSUTOMO","KIM So Yeong","Women","Doubles",5,4,1,220,180,40,2019,"Ayaka TAKAHASHI","KONG Hee Yong"
"534",9,"Jongkolphan KITITHARAKUL","CHOW Mei Kuan","Women","Doubles",4,3,1,218,193,25,2019,"Rawinda PRAJONGJAI","LEE Meng Yean"
"535",10,"Yuki FUKUSHIMA","Ekaterina BOLOTOVA","Women","Doubles",5,5,0,210,101,109,2019,"Sayaka HIROTA","Alina DAVLETOVA"
"536",11,"Mayu MATSUMOTO","LI Wenmei","Women","Doubles",4,4,0,209,185,24,2019,"Wakana NAGAHARA","ZHENG Yu"
"537",12,"CHANG Ye Na","Yuki FUKUSHIMA","Women","Doubles",4,2,2,206,196,10,2019,"JUNG Kyung Eun","Sayaka HIROTA"
"538",13,"LI Wenmei","LEE So Hee","Women","Doubles",4,2,2,205,199,6,2019,"ZHENG Yu","SHIN Seung Chan"
"539",13,"LEE So Hee","Mayu MATSUMOTO","Women","Doubles",4,3,1,205,181,24,2019,"SHIN Seung Chan","Wakana NAGAHARA"
"540",15,"CHEN Qingchen","Greysia POLII","Women","Doubles",4,3,1,201,183,18,2019,"JIA Yifan","Apriyani RAHAYU"
"541",16,"KIM So Yeong","LI Wenmei","Women","Doubles",4,3,1,194,182,12,2019,"KONG Hee Yong","ZHENG Yu"
"542",17,"Misaki MATSUTOMO","Puttita SUPAJIRAKUL","Women","Doubles",4,3,1,187,159,28,2019,"Ayaka TAKAHASHI","Sapsiree TAERATTANACHAI"
"543",18,"Misaki MATSUTOMO","DU Yue","Women","Doubles",4,2,2,185,174,11,2019,"Ayaka TAKAHASHI","LI Yinhui"
"544",19,"Mayu MATSUMOTO","LIU Xuanxuan","Women","Doubles",4,4,0,184,142,42,2019,"Wakana NAGAHARA","XIA Yuting"
"545",19,"CHEN Qingchen","DU Yue","Women","Doubles",4,4,0,184,139,45,2019,"JIA Yifan","LI Yinhui"
"546",21,"Yuki FUKUSHIMA","Ayako SAKURAMOTO","Women","Doubles",4,4,0,180,130,50,2019,"Sayaka HIROTA","Yukiko TAKAHATA"
"547",22,"Misaki MATSUTOMO","Greysia POLII","Women","Doubles",3,2,1,178,172,6,2019,"Ayaka TAKAHASHI","Apriyani RAHAYU"
"548",23,"Greysia POLII","Ayako SAKURAMOTO","Women","Doubles",4,3,1,175,156,19,2019,"Apriyani RAHAYU","Yukiko TAKAHATA"
"549",23,"LEE So Hee","KIM So Yeong","Women","Doubles",3,2,1,175,163,12,2019,"SHIN Seung Chan","KONG Hee Yong"
"550",25,"Yuki FUKUSHIMA","LEE So Hee","Women","Doubles",4,3,1,170,152,18,2019,"Sayaka HIROTA","SHIN Seung Chan"
"551",1,"Kento MOMOTA","Anthony Sinisuka GINTING","Men","Singles",7,6,1,347,309,38,2019,NA,NA
"552",2,"CHOU Tien Chen","Kenta NISHIMOTO","Men","Singles",5,4,1,261,229,32,2019,NA,NA
"553",3,"Jonatan CHRISTIE","Anders ANTONSEN","Men","Singles",6,4,2,248,231,17,2019,NA,NA
"554",4,"Jonatan CHRISTIE","Jan O JORGENSEN","Men","Singles",5,5,0,230,163,67,2019,NA,NA
"555",5,"Viktor AXELSEN","CHEN Long","Men","Singles",5,2,3,224,209,15,2019,NA,NA
"556",6,"Kento MOMOTA","Hans-Kristian Solberg VITTINGHUS","Men","Singles",4,4,0,211,176,35,2019,NA,NA
"557",7,"NG Ka Long Angus","Anthony Sinisuka GINTING","Men","Singles",4,3,1,209,198,11,2019,NA,NA
"558",8,"Kanta TSUNEYAMA","Sitthikom THAMMASIN","Men","Singles",4,3,1,204,175,29,2019,NA,NA
"559",9,"Kento MOMOTA","Viktor AXELSEN","Men","Singles",4,4,0,195,154,41,2019,NA,NA
"560",10,"Anthony Sinisuka GINTING","CHEN Long","Men","Singles",5,3,2,194,165,29,2019,NA,NA
"561",11,"Viktor AXELSEN","Kanta TSUNEYAMA","Men","Singles",4,3,1,188,151,37,2019,NA,NA
"562",11,"Kento MOMOTA","SAI PRANEETH B.","Men","Singles",4,4,0,188,126,62,2019,NA,NA
"563",13,"Kento MOMOTA","WANG Tzu Wei","Men","Singles",4,4,0,183,133,50,2019,NA,NA
"564",14,"Kantaphon WANGCHAROEN","HUANG Yuxiang","Men","Singles",4,3,1,181,158,23,2019,NA,NA
"565",15,"LEE Zii Jia","CHEN Long","Men","Singles",3,1,2,175,170,5,2019,NA,NA
"566",16,"CHOU Tien Chen","Kantaphon WANGCHAROEN","Men","Singles",3,2,1,172,167,5,2019,NA,NA
"567",17,"Tommy SUGIARTO","LU Guangzu","Men","Singles",4,1,3,169,165,4,2019,NA,NA
"568",17,"Anthony Sinisuka GINTING","CHOU Tien Chen","Men","Singles",3,2,1,169,162,7,2019,NA,NA
"569",19,"Viktor AXELSEN","Jonatan CHRISTIE","Men","Singles",3,1,2,164,156,8,2019,NA,NA
"570",20,"CHOU Tien Chen","LIN Dan","Men","Singles",3,2,1,163,131,32,2019,NA,NA
"571",22,"Kento MOMOTA","LEE Zii Jia","Men","Singles",4,4,0,158,100,58,2019,NA,NA
"572",22,"Sourabh VERMA","SUN Feixiang","Men","Singles",3,3,0,158,123,35,2019,NA,NA
"573",22,"Anthony Sinisuka GINTING","Kenta NISHIMOTO","Men","Singles",3,2,1,158,136,22,2019,NA,NA
"574",24,"CHOU Tien Chen","Jonatan CHRISTIE","Men","Singles",3,2,1,157,133,24,2019,NA,NA
"575",25,"Kento MOMOTA","Anders ANTONSEN","Men","Singles",3,2,1,156,119,37,2019,NA,NA
"576",1,"Mohammad AHSAN","LEE Yang","Men","Doubles",6,4,2,295,271,24,2019,"Hendra SETIAWAN","WANG Chi-Lin"
"577",2,"Takeshi KAMURA","Takuro HOKI","Men","Doubles",6,4,2,287,272,15,2019,"Keigo SONODA","Yugo KOBAYASHI"
"578",3,"Takeshi KAMURA","CHOI SolGyu","Men","Doubles",6,4,2,286,247,39,2019,"Keigo SONODA","SEO Seung Jae"
"579",4,"Hiroyuki ENDO","Marcus Fernaldi GIDEON","Men","Doubles",5,5,0,275,213,62,2019,"Yuta WATANABE","Kevin Sanjaya SUKAMULJO"
"580",5,"Hiroyuki ENDO","LI Junhui","Men","Doubles",6,3,3,253,251,2,2019,"Yuta WATANABE","LIU Yuchen"
"581",6,"LI Junhui","LU Ching Yao","Men","Doubles",5,4,1,247,232,15,2019,"LIU Yuchen","YANG Po Han"
"582",7,"Mohammad AHSAN","Hiroyuki ENDO","Men","Doubles",5,5,0,243,207,36,2019,"Hendra SETIAWAN","Yuta WATANABE"
"583",8,"Marcus Fernaldi GIDEON","Fajar ALFIAN","Men","Doubles",5,3,2,241,215,26,2019,"Kevin Sanjaya SUKAMULJO","Muhammad Rian ARDIANTO"
"584",9,"Mohammad AHSAN","LI Junhui","Men","Doubles",5,4,1,236,192,44,2019,"Hendra SETIAWAN","LIU Yuchen"
"585",10,"Marcus Fernaldi GIDEON","Takeshi KAMURA","Men","Doubles",5,4,1,233,199,34,2019,"Kevin Sanjaya SUKAMULJO","Keigo SONODA"
"586",11,"Marcus Fernaldi GIDEON","Mohammad AHSAN","Men","Doubles",5,5,0,229,183,46,2019,"Kevin Sanjaya SUKAMULJO","Hendra SETIAWAN"
"587",11,"LI Junhui","Aaron CHIA","Men","Doubles",4,4,0,229,191,38,2019,"LIU Yuchen","SOH Wooi Yik"
"588",13,"Mohammad AHSAN","Aaron CHIA","Men","Doubles",6,4,2,213,187,26,2019,"Hendra SETIAWAN","SOH Wooi Yik"
"589",14,"Takeshi KAMURA","HE Jiting","Men","Doubles",4,4,0,207,159,48,2019,"Keigo SONODA","TAN Qiang"
"590",15,"Takeshi KAMURA","GOH V Shem","Men","Doubles",4,4,0,206,176,30,2019,"Keigo SONODA","TAN Wee Kiong"
"591",16,"LEE Yang","CHOI SolGyu","Men","Doubles",4,1,3,204,201,3,2019,"WANG Chi-Lin","SEO Seung Jae"
"592",17,"Mohammad AHSAN","GOH V Shem","Men","Doubles",4,3,1,203,183,20,2019,"Hendra SETIAWAN","TAN Wee Kiong"
"593",18,"Hiroyuki ENDO","ONG Yew Sin","Men","Doubles",4,4,0,202,159,43,2019,"Yuta WATANABE","TEO Ee Yi"
"594",19,"Mohammad AHSAN","Takeshi KAMURA","Men","Doubles",4,3,1,197,181,16,2019,"Hendra SETIAWAN","Keigo SONODA"
"595",20,"Aaron CHIA","Kim ASTRUP","Men","Doubles",4,3,1,187,156,31,2019,"SOH Wooi Yik","Anders Skaarup RASMUSSEN"
"596",21,"GOH V Shem","ONG Yew Sin","Men","Doubles",4,4,0,184,142,42,2019,"TAN Wee Kiong","TEO Ee Yi"
"597",21,"Mohammad AHSAN","Mark LAMSFUSS","Men","Doubles",4,4,0,184,148,36,2019,"Hendra SETIAWAN","Marvin SEIDEL"
"598",23,"Mathias BOE","HAN Chengkai","Men","Doubles",4,3,1,176,154,22,2019,"Mads CONRAD-PETERSEN","ZHOU Haodong"
"599",24,"Marcus Fernaldi GIDEON","GOH V Shem","Men","Doubles",4,4,0,172,132,40,2019,"Kevin Sanjaya SUKAMULJO","TAN Wee Kiong"
"600",25,"LEE Yang","Vladimir IVANOV","Men","Doubles",3,3,0,169,150,19,2019,"WANG Chi-Lin","Ivan SOZONOV"
"601",1,"ZHENG Siwei","Praveen JORDAN","Mixed","Doubles",7,5,2,349,313,36,2019,"HUANG Yaqiong","Melati Daeva OKTAVIANTI"
"602",2,"ZHENG Siwei","Yuta WATANABE","Mixed","Doubles",6,5,1,276,244,32,2019,"HUANG Yaqiong","Arisa HIGASHINO"
"603",3,"WANG Yilyu","Dechapol PUAVARANUKROH","Mixed","Doubles",6,5,1,265,213,52,2019,"HUANG Dongping","Sapsiree TAERATTANACHAI"
"604",4,"WANG Yilyu","CHAN Peng Soon","Mixed","Doubles",5,5,0,254,195,59,2019,"HUANG Dongping","GOH Liu Ying"
"605",5,"Praveen JORDAN","Hafiz FAIZAL","Mixed","Doubles",5,4,1,218,196,22,2019,"Melati Daeva OKTAVIANTI","Gloria Emanuelle WIDJAJA"
"606",6,"Rinov RIVALDY","TAN Kian Meng","Mixed","Doubles",4,2,2,211,200,11,2019,"Pitha Haningtyas MENTARI","LAI Pei Jing"
"607",7,"ZHENG Siwei","WANG Yilyu","Mixed","Doubles",5,4,1,208,185,23,2019,"HUANG Yaqiong","HUANG Dongping"
"608",8,"ZHENG Siwei","TAN Kian Meng","Mixed","Doubles",4,4,0,202,152,50,2019,"HUANG Yaqiong","LAI Pei Jing"
