"","Overall Place","Elapsed Time","Team Name","Category","Last Finish","Div Place","Team Members"
"262",262,"8:59:55","NWWA FOOLS","Recreational Open","Kayak",85,"Matt Bowden, Ryan Hillmon, Jeff Schwab, Nick Longstreth, Jeremy Hensley, Darren Bruya, Scott Crowe, Micah Klesick,"
"263",263,"8:59:58","Tour de Franzia","Recreational Open","Kayak",86,"Adrien Wilkie, Suzie Stadelman, Nick Beyer, Nora Simon, Martin Tauc, Hugh Bitzer, Blaine Alvarez, Andrew Anderson,"
"264",264,"9:00:10","WHS Wily Wolves","Whatcom County Open","Kayak",17,"Chuck Schelle, David Berger, Chris Perkins, Anne Wright, Jeremy Birklid, Dan Strachan, Eddi Vulic, Tim Keigley,"
"265",265,"9:01:30","Bigfoot","Recreational Open","Kayak",87,"Mike Delaney, Mathew Hagadone, Edgar Aquino, Cheree Royster, Pat Schibly, Carl Klein, Tyler Royster, Alex Brodd,"
"266",266,"9:02:01","Team Exxel Pacific","Corporate","Kayak",22,"william armstrong, Nicholas Mosteller, Bob Bronson, Ben McCarty, Dave ""Glide"" Frankovich, Jon Roake, Matt Tilton, Tim Tabert,"
"267",267,"9:02:20","Mt Baker Optometric Society","Recreational Open","Kayak",88,"Joseph Bee, Dr. Brett Bence, Thomas Childs, Eric Thomas, Peter Charron, Andy Barber, Lydia Pan, Zach Holmes,"
"268",268,"9:02:33","AOG - DANGLING FURY - HALF OVER - bARKING FROGS -","Corporate","Kayak",23,"robert Knudsvig, Tiffany Vaughn, Gregg Farrar, Chelsea Mackenzie, Steve Vanderstaay, Rodney Baumchen, Phillip Bassett, Sean Lyon,"
"269",269,"9:02:53","Wood Stone Ash Kickers","Corporate","Kayak",24,"Brett Van Leeuwen, Jamie Olson, Chris Lewis, Josh Johnson, Wade Bobb, Matt Greenstreet, Mark Stephenson, Brian Wright,"
"270",270,"9:03:00","Moldy Chums","Competitive Open","Kayak",55,"Diana Rakow, Kim Dunn, Jeff Rakow, Anthony Draye, Mary Strazer, Critter Thompson, Rob Masonis, Rhodri Thomas,"
"271",271,"9:03:10","Willing and Able","Recreational Mixed","Kayak",25,"Edward Allen, Jayson Putnam, Nicole Eldredge, Cherise Lao, Karoline Hood, Justin Putnam, Kelly French, Hannon Didier,"
"272",272,"9:04:08","rawkawn","Recreational Open","Kayak",89,"David Duryee, Mike Duryee, Brad Kelln, Katie Kennedy, Tennis Olson, Kyle Kelln, Wesley Kelln, Alex Olson,"
"273",273,"9:04:19","MSSB ""Invested to Win""","Recreational Open","Kayak",90,"Mike Bartlett, Jim Gruett, Sam Bartlett, Alex Burlingame, Sam Applegate, George Mundell, Paul Pollard, Tammy Pollard,"
"274",274,"9:04:22","Goose Lightning","Recreational Open","Kayak",91,"Guy Capobianco, Cassy Robinson-Cohen, Eric Neilsen, Erica Williams, Nicholas Ford, Patricia Pavlinac, Anthony Escarcega, Adam Zuber,"
"275",275,"9:04:46","The Refined Products","Corporate","Kayak",25,"Mike Smith, Jennie Dunlap, Cameron Bigge, Tami Straub, John Pope, Danny Lockwood, James Dowrey, Nate Thomas,"
"276",276,"9:06:15","Port Mann Bridge","Corporate","Kayak",26,"Adam Geyer, Nick Pavia, Cynthia Jones, Abigail Conover, David Carter, Paul Hopkins, Celeste Sawinski, Jim Hindes,"
"277",277,"9:06:29","Rugadoo","Family","Kayak",9,"Andrew Yoder, Benjamin Englund, Larry Englund, Joel Englund, Shaina Englund, Luke Englund, Shelby Englund, Peter Englund,"
"278",278,"9:06:54","Man Eaters","Competitive Women","Kayak",5,"Karen Callahan, Renate Fritsch, Marissa Forman, Brooke Vetsch, Lindsay Wormwood, Katie Moore-Drougas, Natalia Mucha, Abby Drollinger,"
"279",279,"9:07:35","The NutClusters","Recreational Open","Kayak",92,"Emily Buckley, Pamela Buffum, Dustin Guy, Michael Pomerleau, Onie Greiling, Jackie Duerr, Kirk Bigelow, John Lopez,"
"280",280,"9:07:38","Crusty Crew","Recreational Open","Kayak",93,"Marshall Kane, Nick Moss, Ethan Wood, Simon Jones, Brock Webley, Mike Brown, Tadd Foote, John Trull,"
"281",281,"9:07:49","West Mortgage LLC - Troubled Assets","Recreational Open","Kayak",94,"Bill Haynes, Burt Perry, Brian Jager, Jessica Jager, Susan Snyder, Benjamin Kaemingk, Justin Bajema, Luke Kaemingk,"
"282",282,"9:08:26","The safe word is ""WHiskey""","Competitive Open","Kayak",56,"Drew Kirkpatrick, Ellen Kutscher, Brian Flippin, Erica Bliss, Benjamin Klingenstein, Benjamin Enfield, Ryan McKinney, Mat Johnson,"
"283",283,"9:09:02","Team Harborview","Recreational Mixed","Kayak",26,"Ellen McDonald, Celine Englan, Matthew Cazier, Sue Mastroianni, Shannon Defrees, Karin Huster, Mike Krausser, Grant Okeefe,"
"284",284,"9:09:13","Must Finish Alive","Recreational Open","Kayak",95,"Mike Stringer, Valerie Uskoski, Curtis Riley, Jim Maul, David Knutson, Phil Wiescher, Donald Cheyette, Jim Darling,"
"285",285,"9:09:47","Roosevelt Mathletes","Corporate","Kayak",27,"Michael Miller, Matthew Mueting-Nelson, Royce Christensen, Jeff Ware, Mark Landreville, Bryan Marenstein, Chris Holland, Judson Miller,"
"286",286,"9:09:50","RN's saving lives with burning thighs","Recreational Women","Kayak",10,"Jasmine Beede, Julie Lidbeck, Julie Watts, Paula Stokes, Sarah Breting, Audra Mercille, Lisa Johnson, Andrea Guignard,"
"287",287,"9:09:54","It Pretty Much Runs Itself","Recreational Open","Kayak",96,"Arash Oliaei, Kevin Sahara, Jesse Williams, Katie Blaesser, Travis Williams, Dane Egusa, Kate Smith, Matt Koch,"
"288",288,"9:10:19","The Barelies","Recreational Mixed","Kayak",27,"Bruce Carpenter, andrew herndon, Doug Carpenter, Colleen Carpenter, Chris Compton, chris frerichs, jill caldwell, doss herndon-schepper,"
"289",289,"9:10:25","The Royal Order Of Cardinals","Recreational Mixed","Kayak",28,"Bob Lazzar-Atwood, Karen Lazzar-Atwood, Mary Atwood, Brad Daly, Nancy Richards, Gene Gerner, Julie Atwood, Diane Gerner,"
"290",290,"9:10:34","Jiminy Crockett Rides Again","Recreational Open","Kayak",97,"Darren Anderson, Mitch Anderson, Collin Foote, Greg Ise, Riley Lehecka, Tyler Platte, Travis Tallquist, Josh Price,"
"291",291,"9:11:06","Mooseknuckle","Recreational Open","Kayak",98,"Michael Greiner, Courtney Greiner, Tim Werwie, Bret Greenheck, Tess Golling, Ben Small, Maggie Fuqua, Nick Potter,"
"292",292,"9:11:20","Solid Gold BaDankadank","Competitive Women","Kayak",6,"Kim Degner, Rebecca Harbage, Kate French, Ana Pederson, Shannon Hughes, Eliza Wiley, Steph Knisley, Allie Savage,"
"293",293,"9:13:05","Immaculate Consumption","Recreational Open","Kayak",99,"Erick Winger, Erin Dougherty, Callie Patton Kim, Marina McIver, Rob Lynch, Jeff Kim, Samuel Schell, Jake Schell,"
"294",294,"9:13:25","Aroma of Takhoma","Recreational Open","Kayak",100,"Zeta Strickland, Kari Ann Elling, Chris Willett, Tori Lindsley, Tom Lindsley, Jamie Foreman, Peter Elling, Todd Ray,"
"295",295,"9:13:35","Happy Campers","Recreational Mixed","Kayak",29,"Lauren Brown, Justin Conlan, Karen Nellessen, Matt Bernstein, Adrienne Nova, David Weber, Amelia Seagrave, Jeff Howard,"
"296",296,"9:13:37","Code 3","Recreational Open","Kayak",101,"Mike Martin, Duane Wantland, Rich Sather, Dan Rucker, Suzanne Eviston, Carmen Slack, Molly Reeves, Jay Baines,"
"297",297,"9:13:57","Hunger Pains","Competitive Open","Kayak",57,"Scott Goodall, Alex Clark, Katie Touch, Rebecca Carey, Harlan Brock, Lennon Bronsema, Tom Halsted, Seth Felker,"
"298",298,"9:14:46","Natalie Portland","Recreational Open","Kayak",102,"Peter Pham, Kelly Marx, Louise Ryan, Andr?a Franke, Nicholas Covell, Devan Schwartz, Anthony Copple, Benjamin Graber,"
"299",299,"9:15:20","Peak 7 - Beat Team Spokane","Recreational Open","Kayak",103,"Wayland Cossey, Ryanna Steele, Alan Jutte, Mikke Lindblom, Jeremy Porter, David Johnson, Alex Dunn, Tom Bristol,"
"300",300,"9:16:07","Polish Force NorthWest Reserves","Competitive Open","Kayak",58,"Jadwiga Pamula, Adam Kubicki, Jarek Domanski, Grzegorz Oprzadek, Damian Dominik, Marcin Mitan, Krzysztof Bujak, Igor Rozanski,"
"301",301,"9:16:13","Family Business 2","Family","Kayak",10,"Ian Chapman, Mark Chapman, Tim Light, Andrea Gray, Kimberly Chapman, John Smythe, Matt Gray, Gregg Sargeant,"
"302",302,"9:17:23","Upchuckanut","Recreational Mixed","Kayak",30,"Caleb Koontz, Jessica spivey, Kyler Spivey, Kristin Mahoney, Kaveh Askari, Joe Melewski, Sharon Spivey, Tom Spivey,"
"303",303,"9:17:31","Semiahmoo Sunrunners 1","Recreational Mixed","Kayak",31,"Tina Hansen-Baker, Hanif Mohamad, Paul Mathias, Gary Bennett, August Albrecher, Antonio Cerullo, Brenda Lightfoot, Marilyn McIvor,"
"304",304,"9:17:40","Ringo Death Starrs","Recreational Mixed","Kayak",32,"Kathi Rogers, Andrew Miller, Jen Miller, Ann Lackland, Anna Booker, Ted Miller, Eric Henry, David Lujan,"
"305",305,"9:17:47","It's All Downhill From Here","Recreational Open","Kayak",104,"Kalyn MacIntyre, Doug MacIntyre, Keith Golden, Dee Allen, Brett McClintock, Manolo Castellote, Eli Gurarie, Kristin Laidre,"
"306",306,"9:17:50","Whatcom Express","Recreational Mixed","Kayak",33,"Brian Keeley, Michael Singletary, Doug McKeever, Kim Struiksma, Melissa Talbot, Dean Hagin, Ulli Schraml, Kelly Kester,"
"307",307,"9:17:51","Extreme Fitness","Whatcom County Open","Kayak",18,"Jason Dahlstrom, Crystal Dahlstrom, Seth Keegahn, Ali Riecke, Leona Tolle, Erinn Thompson, Matt McBeath, Wayne Galloway,"
"308",308,"9:17:52","The ""REAL"" Anytime Fitness","Recreational Mixed","Kayak",34,"mike Hoefer, lance lootens, Robyn Eldridge, Leslie Hoefer, Sarah Wallman, Terra Coppinger, Jenny Brown, Joel Meenk,"
"309",309,"9:18:06","Rainbow Fire","Competitive Mixed","Kayak",9,"Ashley Kvitek, Katie Tozier, Mollie Behn, Alex Patia, Chris Kiser, Kiira Heymann, Erin Soper, Elise Ehrheart,"
"310",310,"9:18:16","Good Time Gang 1","Recreational Mixed","Kayak",35,"Rebecca Hills, Kristofer Reed, Steve Dostal, Deanna Martin, Kristin Coady, Sonya Heltshe, Tyler Martin, Laura Byrne,"
"311",311,"9:18:49","Teach by day, race by Knight","Recreational Mixed","Kayak",36,"Jason Sytsma, Matt Siemion, David Fayram, Yvonne Milord, Karl Frank, Pete Brands, Krista Gordon, Vanessa Katz,"
"312",312,"9:19:01","Radical Rinkle Racers","Recreational Open","Kayak",105,"Alex Toner, Miles Morris, Stephen Praast, Dan Baus, Tyler Goodnight, Landen Robinson, Ky Elliott, Kurt Williams,"
"313",313,"9:19:23","Semiahmoo Sunrunners 2","Recreational Mixed","Kayak",37,"Doug Brewer, Stuart McNabb, Nancy McNabb, Michaela Bennett, Carole Masse, Alan Benson, Allan Clarke, Fred Cotton,"
"314",314,"9:19:29","Harbor Wholesale Foods","Recreational Open","Kayak",106,"Jon Stensland, Phillip Hunter, Larry Keltner, Janna Cox, David Pilon, Jace Cutler, Mike Erickson, Carrie Rothman,"
"315",315,"9:19:35","The Outliers","Recreational Open","Kayak",107,"Andrew Ernst, Sean Lassiter, Andrew Hautau, Rebecca Engell, Katherine Leach-Kemon, Peter Speyer, Ruru Wang, Benjamin Brooks,"
"316",316,"9:19:40","Miner Threat","Recreational Open","Kayak",108,"Jordan Winspear, Jeremy Saperia, Lionel Garcia, Carmen Johnston, Mike Krulc, Buck Price, Clint Price, Jeff Brandt,"
"317",317,"9:19:58","Gone to the Dogs!","Recreational Mixed","Kayak",38,"Don Larsen, Deborah Harstad, Laura Lee, Sabina Havkins, Pam Roy, emily sabelhaus, Rebecca DeGeorge, Chris Sabelhaus,"
"318",318,"9:20:00","Artichoke Hearts","Recreational Open","Kayak",109,"Grant Haynes, Ellen Sabina, Dana Bialek, Lael Bialek, Dave Gahn, Casey O'Brien, Calvin Cardwell, Adrian Duckett,"
"319",319,"9:20:02","Tartan Spartans","Recreational Mixed","Kayak",39,"Scott Dirks, Kristina Dirks, John Bolton, Jackie Ellis, Don Minter, Sarah Watrous, Paul Whitmore, Eric Ellis,"
"320",320,"9:20:17","Proc Survive;","Recreational Mixed","Kayak",40,"Marillyn Tefft, Katherine Stewart, Zach Heyer, Kevin Eskew, Jesse Ashbaugh, Casey Phipps, Jonas Johnson, Kepler Newman,"
"321",321,"9:20:24","Sandbaggers","Recreational Women","Kayak",11,"Ashley Morley, Jacqueline Brawley, Heidi Hunt, Jeanie Hensley, Ariana Lee, Catherine Higgins, Melissa Stoddard, Karen King,"
"322",321,"9:20:24","Ferndale Alliance Church","Whatcom County Open","Kayak",19,"Jason Klein, Andrew Klein, Richard Finch, John Solberg, Fred Kennedy, Jon Mutchler, Paul Stoeckl, Tommy Mutchler,"
"323",323,"9:21:09","Fire Breathing Rubber Duckies","Recreational Open","Kayak",110,"Tod Padgett, Cyndi Andersen, Dennis Strong, Robert McGruder, Greg Gerhardt, David Whipple, Kerry Hunter, Sam Miller,"
"324",324,"9:21:25","Lucid Consulting","Competitive Open","Kayak",59,"Kirc Hale, Ray Dailey, Kyle Klinger, Greg Baker, Amanda Blue, Phil Samuelsen, Len Parine, Lis Bratlien,"
"325",325,"9:21:27","AgeSpotsandMagic","Recreational Open","Kayak",111,"Chuck Earle, Melody Rhode, Mark Rhode, Lloyd Johnson, Lorraine Earle, David Loeppky, Logan Earle, Sharon Loeppky,"
"326",326,"9:21:57","Team Wave","Recreational Open","Kayak",112,"Calder Jacobs, Sam McMillen, Kyla Jacobs, Lori Solem, David Wight, Mackenzie Macsween, Lucas Wight, Nate Lesnett,"
"327",327,"9:22:18","Bullpasture","Family","Kayak",11,"Jeremy Hanson, John Hunter, Devin Haywood-Farmer, Patrick Blennerhassett, Lydia Durfeld, Tyler Haywood-Farmer, Lucas Durfeld, Carson Haywood-Farmer,"
"328",328,"9:22:37","Car Free & Care Free","Whatcom County Open","Kayak",20,"Andy Wiser, Gabe Headley, Margaret Hall, Victor Valadez, Max Morange, Andrew Berg, Melanie Swanson, Ian Metzgen-Ohlswager,"
"329",329,"9:23:06","Uncharismatic Megafauna","Recreational Open","Kayak",113,"Paul Hillman, Jonathan Angus, Britton Goodale, Laura Lucci, Jay Dimond, Wynnie Long, Julie Barber, Erik Endrulat,"
"330",330,"9:23:18","Diminishing Returns","Whatcom County Mixed","Kayak",7,"Kyle Fleming, Jason Harper, Iqbal Mohammed, Farrokh Safavi, Chris Sandvig, Jordan Ochsner, Janet Kling, Eric Nissen,"
"331",331,"9:23:23","Flotsam","Recreational Open","Kayak",114,"Tristan Smith, Lincoln Smith, Tom Butowicz, Cinda Ayer, Doreen Kindred, Chris Wearn, Jennifer Hine, Bob Reitinger,"
"332",332,"9:23:46","Underhill Gang","Whatcom County Mixed","Kayak",8,"Ben Fackler-Adams, Rainy Fackler-Adams, Sarah Benn, Robyn Gustafson, Diana Gruman, Peter Gruman, Betsy Bierer, John Antico,"
"333",333,"9:23:58","TAKE IT TO THE LIMIT (LIMIT)","Recreational Women","Kayak",12,"Claire Frazer, Sarah Bergman, Melanie Hodgman, Kate Silver-Heilman, Kate Allstadt, Julie Weis, Sarah Webb, Mary Marmorstone,"
"334",334,"9:24:00","Bellingham Public Library Dewey Decimators","Recreational Mixed","Kayak",41,"Cathy Nichols, Cindy Geri, Holly Folk, Brett Straka, Lynnette Berry, Kirsten Wert, Michelle Silcott, Daniel Stapish,"
"335",335,"9:24:18","Sportsman Chalet","Corporate","Kayak",28,"Madeline Carlson, Bree Carns, Brett Thompson, Lacey Nation, Noel Lemke, Ryun Johnson, Andrew Wells, ryan gadwa,"
"336",336,"9:24:48","Minnows of the Slow Lane","Recreational Mixed","Kayak",42,"Richard Cantin, Denise Dibb Thompson, Torry Lingbloom, Jen Warwick, Kristine Colver, Patsy Goodhope, Chris Ohana, Jerry Richmond,"
"337",337,"9:24:49","Venus Envy","Recreational Women","Kayak",13,"Barbara Alten, Elise Cabre-Vondrell, Katie Rothenberg, Mary MAHONEY, Ingrid Enschede, Cindy Maxwell, Monika Lange, Molly Klein,"
"338",338,"9:25:05","Turn and Burn","Whatcom County Open","Kayak",21,"Kyle McKillop, Zach Lemeiux, Emily Finger, Nick Marshall, Andrew Basabe, Dain Wright, Sam Trippe, Corey Windnagel,"
"339",339,"9:25:07","Ethoseo Internet Marketing","Recreational Open","Kayak",115,"Deb Canon, Jennifer Wright, Ron Bauleke, Jody Mason, Hannah Neubeck, Damien Wright, Kristen Mason, Matt Marsden,"
"340",340,"9:25:58","Team Diamond B","Recreational Open","Kayak",116,"Ron Shoemaker, Tucker Wilson, Mike McKinney, Tim Chapman, Aimee Heckman, Uriah Sturtevant, Bob Aiken, Craig Cheadle,"
"341",341,"9:26:33","The Snowline Fighting Snails","Recreational Open","Kayak",117,"Randy Winjum, Chuck Bucklar, Scott Myhre, Jackie Eelnurme, Mark Svetcos, Patrick Eelnurme, Phil Anesini, Todd Denholm,"
"342",342,"9:26:36","Sasquatch Athletic Club","Recreational Open","Kayak",118,"Brandon Pearsall, Emma Pearsall, Scott Ryan, Troy Bash, Del Profitt, Scott Schriever, Aimee Tippereiter, Mark Tipperreiter,"
"343",343,"9:26:47","Team Progressive","Corporate","Kayak",29,"Jeff Latham, Kelly Loomis, Mike Robson, Tina Torbert, Alex Rucshner, Copper MacDonald, Marisa Afzali, Andy Fields,"
"344",344,"9:26:51","Kalen's Creative Team Name","Recreational Mixed","Kayak",43,"Kalen Roe, Erin Johnson, Amanda Schroeder, Brandon White, Douglas Ray, Kyle Dungan, Jason Johnson, Grant Driver,"
"345",345,"9:27:00","The Woods Coffee","Recreational Open","Kayak",119,"Justin Goheen, Patrick Ulinski, Justin Doran, Josh Struiksma, Peter Sherman, Brian Stuart, Nicholas McCoy, Stephen Tabert,"
"346",346,"9:27:24","Ski to Seamen","Recreational Open","Kayak",120,"Ian Cairns, Michelle Cairns, Stephen Frister, Amanda Durling, Andrew Cole, Noah Wilkes, Devon Butler, Zak Cobb,"
"347",347,"9:28:04","Family Circus","Family","Kayak",12,"Ianthe Andress, Tim Andress, Kathleen Buchanan, Alison Walker, Phil Andress, James Buchanan, Sandra Andress, Philip Andress III,"
"348",348,"9:28:07","No Teacher Left Behind!","Whatcom County Open","Kayak",22,"Ross Chaney, Alex Martinez, Jennifer Jones, Matthew Virata, janice hottmann, Kerry Hermann, Stephen Mullenix, Matt Durand,"
"349",349,"9:28:12","Mt. Suckshan","Whatcom County Open","Kayak",23,"Bret Simmons, Gretchen Simmons, Vance Hunt, Lori Thompson, Gary Stoyka, Jolyn Hunt, Thomas Malone, Kent Tschoepe,"
"350",350,"9:28:34","Seattle School","Recreational Mixed","Kayak",44,"Casey Wong, John Sloss, Matthew Rock, Phil House, Hannah Childers, Ryan Kuja, Paul Quinlivan, Caleb Visser,"
"351",351,"9:29:19","The Cohort","Recreational Mixed","Kayak",45,"Brandon Crostick, Jessica Babbitt, Michael Jud, Blane Gosselin, jim Scarborough, edmund trangen, Julie Creager, frank baechler,"
"352",352,"9:29:23","Twinlow Camp","Recreational Mixed","Kayak",46,"Nichol (Daisy) Ellis, Alan Rogstad, Lizzi Bowling, Paul Roggow, Tyler Wagner, Zam DeShields, Steven Wright, Erick Banks,"
"353",353,"9:29:25","The Haphazard Few","Recreational Open","Kayak",121,"Zoe Seda, Glenn Tomchik, Kam Botteron, Dennis Chang, Anna Louise Waerness, Austin Kemis, Kurt DeVries, David Culler,"
"354",354,"9:30:05","Half & Half","Competitive Open","Kayak",60,"Natasha Zavorotny, Yuri Zavorotny, Boris Schneiderman, Peer Winter, Vassili Korotkine, Alex Ustyugov, Evgeni Diment, Zakhar Okunev,"
"355",355,"9:30:53","Lightning Bats","Recreational Mixed","Kayak",47,"Carrie Wallace, Meghan Hula, Brad Weltzer, Tyler Marrs, Tim Burchard, Scott Henson, Jay PIllatsch, Matt Hula,"
"356",356,"9:31:30","C Squad","Recreational Open","Kayak",122,"Mary Dombrowski, Rachel Shigeta, Stan Dombrowski, Cyrus Schaaf, Duane Dombrowski, Sarah Johnson, Jordan Kovash, Joel Underwood,"
"357",357,"9:31:55","Moxy in Motion","Competitive Open","Kayak",61,"Kolt Gorham, John Guckeen, Audrey Johnson, Colin Futrelle, Dave Wolfendale, Reid Pitman, Anthony McMullen, Jenna Goodman,"
"358",358,"9:33:03","Rudys Up & Up","Recreational Open","Kayak",123,"Steve Scoggins, Diana Pinney, Marley Simmons-Abril, Asia Hirsch, Amanda Stone, James York, Natalie Sahli, Derek Jackman,"
"359",359,"9:33:59","Nerd Herd","Recreational Open","Kayak",124,"Josh London, Tony Orr, Shawn Dahle, Stephanie Grassia, Shanna London, John Jansen, Van Helker, Garrett Hoskins,"
"360",360,"9:34:09","The G Spot","Whatcom County Mixed","Kayak",9,"Graham Gribble, Sara Edmonds, Marcee Holland, Rafa Gonzales, Katrina Hebert, Maxx Shelley, Janai Deckwar, Brook Ashcraft,"
"361",361,"9:34:11","Drug Court","Recreational Open","Kayak",125,"Darin Vinkes, Kaliska Kilgore, Jory Freeman, McCall Kosareff, David Brown, Jim Knape, Gavin Olson, Chris Peterson,"
"362",362,"9:34:53","Esophagus to Sphincter","Recreational Open","Kayak",126,"Andrew Taylor, Becky Knight, Mike Haug, Katie Haug, Kalin Karich, Morgan McInvaille, Tom Haug, Alan Knight,"
"363",363,"9:34:55","Westside Pizza","Recreational Open","Kayak",127,"Dane Chambers, Aaron Stothart, Kyle Thon, Kevin Chambers, Gunnar Grosenick, Erin Collins, Chris Herron, Joe McGill,"
"364",364,"9:35:01","Double Down","Recreational Open","Kayak",128,"Megan Barnett, Chelsea Ausland, Jeremy Lewallen, Ian Lewallen, Kristen Lewallen, Robert Barnett, Kevin Carroll, Jim Gregg,"
"365",365,"9:35:04","Bham Expats","Recreational Open","Kayak",129,"Eric Olson, Lindsay Olson, Frank Koontz, Molly Massena, Kirk Koontz, Megan Murray-Wagner, Roy Massena, Kevin Schoenmakers,"
"366",366,"9:35:08","Odin's Army","Recreational Open","Kayak",130,"Robin Taft, Sandi Olson, Patrick Van Der Hyde, Kristine Bingman, John Roeller, Jeff Lasell, Keith Dorrenbos, Tim Taft,"
"367",367,"9:35:30","City Gym","Recreational Mixed","Kayak",48,"Katie Johnson, Darrin Downs, Raphael Rodriguez, Lorinda Gebhart, Jean Graybill, Travis Graybill, Ashley Buerger, Taylor Scott,"
"368",368,"9:35:31","Jim's Dandies","Family","Kayak",13,"Eric Arndt, Leann Arndt, Taesan Hose, Karl Arndt, Jennifer Arndt, Natalie Vander Hulst, Delvin Crabtree, Dirk Vander Hulst,"
"369",369,"9:36:58","The Bucket List","Veterans","Kayak",11,"Drew Scheele, Dorothea Bergen, Mike Flannery, Sue Flannery, Jim Lowry, Ken Zender, Chris Erdmann, Kristi Coy,"
"370",370,"9:37:27","Victory Flux","Recreational Open","Kayak",131,"Katie Deets, Justin Farris, John Berude, Lauren Maza, Molly Shepard, Jordan Maier, Will Piro, Max Cordier,"
"371",371,"9:37:59","Boys on Bikes","Recreational Open","Kayak",132,"James McArdle, Jeremiah Volkmer, Randal Gabel, Dominic Vellucci, Stuart Ryan, Scott Lawson, Mike Mills, Curtis Himes,"
"372",372,"9:38:25","CANOODLERS","Recreational Mixed","Kayak",49,"Amelia Bethke, Matt Spevak, Alanna Steele, Emmy Russell, Lauren Flynn, Rosanna Johnson, Sara Scott, Ben Carter,"
"373",373,"9:38:36","Family Business 1","Recreational Open","Kayak",133,"Michael Bart, Ryan Bart, Jeff Berger, Karla Garten, Marian Brennan, Peter Chapman, Liz Bart, John Fortiner,"
"374",374,"9:39:31","Epic Nachos","Recreational Mixed","Kayak",50,"Alissa Schlecht, Kiki Fischer, Amy Jetter, Mary Wuest, Hilary Groh, Kalen Edwards, Kris Stemmler, Megan Jetter,"
"375",375,"9:39:34","Three Toed Sloths","Recreational Mixed","Kayak",51,"Quinn Schweizer, Tim Apuzzo, Matthew Rain, Krista Nordlund, Olle Nordlund, Brettan Martelle, Libby Rain, Nelson Martelle,"
"376",376,"9:39:40","Last Ditch Effort","Recreational Mixed","Kayak",52,"Kristina Daheim, Matt Daheim, Randy Schillinger, Jenny Tepker, Chinook Graham, Kai Farrar, Rebecca Schillinger, Kevin Tepker,"
"377",377,"9:40:46","Bellingham Christian School","Recreational Open","Kayak",134,"Bob Aslan, Wendy Zurcher, Lucy Mestre, Linda DenAdel, Matt Robinson, Paul Twedt, Kurt DenAdel, Matt Zurcher,"
"378",378,"9:41:36","Rollie Pollie Ollie's","Family","Kayak",14,"Logan Barnett, Jimmy Olson, Brandon Olson, Tyson Meyer, Tara Olson, Taylor Meyer, Braelan Barnett, Bob Olson,"
"379",379,"9:41:42","One Crude Bunch","Corporate","Kayak",30,"Brendon Hiiliard, Dale Duffield, David Barnet, Justin Thomason, Jim Kopkowski, Jason Evans, Chris Thompson, Ken Schimke,"
"380",380,"9:41:48","Vaportrails","Recreational Open","Kayak",135,"Gavin Gladsjo, Oak Rankin, Jeff Meyer, Kelly Katsikis, Mike Bert, Edward Morris, John Reay, Doug Williams,"
"381",381,"9:42:02","Moreno Dental","Recreational Open","Kayak",136,"Chip Smith, Andy Weathers, Aaron Moreno, Taylor Boyd, Danny Boyd, Reed Woodyard, Teresa Wittmann, Grant Williams,"
"382",382,"9:42:15","Team NMCSD","Competitive Open","Kayak",62,"Anthony Shuford, Brian Riley, David Rohde, Alec Pienaar, Omar Bermejo, Nelson Martinez, Aleksandr Andryushin, Carl Hill,"
"383",383,"9:43:25","Couch Creepers","Recreational Open","Kayak",137,"Ryan Crollard, Leah Stevenson, Brianna Ho, Daniella Welsh, new skis old legs, Ryan Breakey, Jackie-Lou Brock, Bren Byerley,"
"384",384,"9:43:27","The Nerd Herd","Recreational Mixed","Kayak",53,"Maxine Turner, Amber Goodrich, Andrew Estrella, Bryan Clark, Cari Jamieson, Dina Buric, Nhan Nguyen, Marcus Newton,"
"385",385,"9:43:56","Peak 7 - The Freshies","Recreational Open","Kayak",138,"Curtis Kingrey, Andrew Ashmead, Michael Kremer, Tony Pacheco, Kasey Frerichs, Joel Kosic, Doug Cheney, Stu Morrison,"
"386",386,"9:44:13","Mambo Italiano Mamas","Whatcom County Women","Kayak",5,"Shannon Funk, Mary Hooker, Heidi Schroyer, Susan Adair, Beth Chisholm, Meg Metzger, Karen Saupe, Chris Carlson,"
"387",387,"9:45:01","Ladies of Lightening","Competitive Women","Kayak",7,"Tonya Kusak, Renee Coon, Carrie Hofman, Nichole Braun, Louisa Hunker, Abby McCormack, Michelle Wynne, Sarah Driggers,"
"388",388,"9:45:27","MasterBakers","Recreational Open","Kayak",139,"Adam Freeburg, Ryan Wopschall, Geoffrey Bonser, Julie Malakie, Natalia Slobodina, Kayla Wopschall, Joss Whittaker, Sandra Bilbrey,"
"389",389,"9:46:00","Team Deinonychus","Recreational Open","Kayak",140,"Skye Steptoe, Lauren Seyda, Josh Fleischmann, Mark Stickel, Pam Kobylarz Heays, Peter Omdal, Alec Swirski, Jordan Hamm,"
"390",390,"9:46:13","LezzzGO","Recreational Open","Kayak",141,"Brent Hartwig, Matthew Hartwig, Niki House, Greg Forster, Laura Kirk, Carly Meiser, Tino Quiroga, Robby Robinson,"
