Name,Position,Age,"Birthdate
",Height,Weight,Height (ft/in),"Weight
st/lb",Contract,Length,Team 
Darrien LANDSBERG,Lock,26 y/o,26/07/1998,1.96 m,111 kg,6 ft 5 in,17 st 6.71 lb; 244.71 lb,PRO,,lions
Etienne OOSTHUIZEN,Lock,32 y/o,22/12/1992,1.98 m,128 kg,6 ft 6 in,20 st 2.19 lb; 282.19 lb,PRO,,lions
Johnré STOPFORTH,Lock,-,-,2.00 m,105 kg,6 ft 7 in,16 st 7.49 lb; 231.49 lb,PRO,,lions
Luca RIBBENS,Lock,21 y/o,37719,1.93 m,112 kg,6 ft 4 in,17 st 8.92 lb; 246.92 lb,PRO,,lions
Raynard ROETS,Lock,24 y/o,37138,1.97 m,108 kg,6 ft 6 in,17 st 0.10 lb; 238.10 lb,PRO,2025,lions
Reinhard NOTHNAGEL,Lock,27 y/o,25/09/1997,2.02 m,117 kg,6 ft 8 in,18 st 5.94 lb; 257.94 lb,PRO,2025,lions
Ruan VENTER,Lock,22 y/o,29/11/2002,1.98 m,120 kg,6 ft 6 in,18 st 12.55 lb; 264.55 lb,PRO,2025,lions
Ruben SCHOEMAN,Lock,29 y/o,14/03/1996,1.99 m,124 kg,6 ft 6 in,19 st 7.37 lb; 273.37 lb,PRO,2025,lions
Siba QOMA,Lock,28 y/o,17/02/1997,1.90 m,108 kg,6 ft 3 in,17 st 0.10 lb; 238.10 lb,PRO,,lions
Tiaan WESSELS,Lock,22 y/o,37865,1.95 m,120 kg,6 ft 5 in,18 st 12.55 lb; 264.55 lb,PRO,,lions
Francke HORN,Back row,26 y/o,24/05/1999,1.90 m,106 kg,6 ft 3 in,16 st 9.69 lb; 233.69 lb,PRO,2028,lions
Izan ESTERHUIZEN,Back row,24 y/o,37108,1.91 m,112 kg,6 ft 3 in,17 st 8.92 lb; 246.92 lb,PRO,,lions
Jarod CAIRNS,Back row,24 y/o,18/05/2001,1.88 m,100 kg,6 ft 2 in,15 st 10.46 lb; 220.46 lb,PRO,,lions
JC PRETORIUS,Back row,27 y/o,29/01/1998,1.86 m,92 kg,6 ft 1 in,14 st 6.83 lb; 202.83 lb,PRO,,lions
Renzo DU PLESSIS,Back row,22 y/o,37597,1.88 m,108 kg,6 ft 2 in,17 st 0.10 lb; 238.10 lb,PRO,2025,lions
Ruan DELPORT,Back row,22 y/o,37322,2.00 m,109 kg,6 ft 7 in,17 st 2.30 lb; 240.30 lb,PRO,2025,lions
Ruhan STRAEULI,Back row,26 y/o,35896,1.93 m,112 kg,6 ft 4 in,17 st 8.92 lb; 246.92 lb,PRO,2025,lions
WJ STEENKAMP,Back row,24 y/o,28/09/2000,1.90 m,107 kg,6 ft 3 in,16 st 11.89 lb; 235.89 lb,PRO,,lions
Layton HORN,Scrum-half,22 y/o,21/05/2003,1.83 m,82 kg,6 ft,12 st; 180.78 lb,PRO,,lions
Morné VAN DEN BERG,Scrum-half,27 y/o,24/10/1997,1.75 m,82 kg,5 ft 9 in,12 st 12.78 lb; 180.78 lb,PRO,2025,lions
Nico STEYN,Scrum-half,23 y/o,37594,1.77 m,78 kg,5 ft 10 in,12 st 3.96 lb; 171.96 lb,PRO,,lions
Gianni LOMBARD,Fly-half,27 y/o,22/01/1998,1.78 m,82 kg,5 ft 10 in,12 st 12.78 lb; 180.78 lb,PRO,,lions
Kade WOLHUTER,Fly-half,24 y/o,28/06/2001,1.82 m,93 kg,6 ft,14 st; 205.03 lb,PRO,2026,lions
Lubabalo DOBELA,Fly-half,27 y/o,35831,1.75 m,80 kg,5 ft 9 in,12 st 8.37 lb; 176.37 lb,PRO,,lions
Sam FRANCIS,Fly-half,22 y/o,14/03/2003,1.90 m,100 kg,6 ft 3 in,15 st 10.46 lb; 220.46 lb,PRO,,lions
Zander DU PLESSIS,Fly-half,25 y/o,36742,1.90 m,90 kg,6 ft 3 in,14 st 2.42 lb; 198.42 lb,PRO,,lions
Erich CRONJÉ,Centre,28 y/o,35431,1.84 m,95 kg,6 ft,14 st; 209.44 lb,PRO,,lions
Henco VAN WYK,Centre,24 y/o,37077,1.80 m,92 kg,5 ft 11 in,14 st 6.83 lb; 202.83 lb,PRO,2027,lions
Manuel RASS,Centre,27 y/o,19/04/1998,1.74 m,88 kg,5 ft 9 in,13 st 12.01 lb; 194.01 lb,PRO,2025,lions
Marius LOUW,Centre,29 y/o,24/10/1995,1.82 m,97 kg,6 ft,15 st; 213.85 lb,PRO,2025,lions
Rynhardt JONKER,Centre,25 y/o,18/04/2000,1.80 m,90 kg,5 ft 11 in,14 st 2.42 lb; 198.42 lb,PRO,,lions
Boldwin HANSEN,Winger,24 y/o,26/03/2001,1.92 m,98 kg,6 ft 4 in,15 st 6.05 lb; 216.05 lb,PRO,,lions
Edwill VAN DER MERWE,Winger,29 y/o,35403,1.81 m,90 kg,5 ft 11 in,14 st 2.42 lb; 198.42 lb,PRO,2025,lions
Keagan SMITH,Winger,22 y/o,15/05/2003,1.75 m,81 kg,5 ft 9 in,12 st 10.57 lb; 178.57 lb,PRO,,lions
Rabz MAXWANE,Winger,29 y/o,14/08/1995,1.81 m,90 kg,5 ft 11 in,14 st 2.42 lb; 198.42 lb,PRO,2025,lions
Quan HORN,Fullback,24 y/o,27/06/2001,1.81 m,84 kg,5 ft 11 in,13 st 3.19 lb; 185.19 lb,PRO,2025,lions
Richard KRIEL,Fullback,24 y/o,36714,1.94 m,95 kg,6 ft 4 in,14 st 13.44 lb; 209.44 lb,PRO,,lions
Tapiwa MAFURA,Fullback,29 y/o,35373,1.75 m,80 kg,5 ft 9 in,12 st 8.37 lb; 176.37 lb,PRO,,lions
Dian BLEULER,Prop,25 y/o,05/08/1999,1.83 m,120 kg,6 ft,18 st; 264.55 lb,PRO,,sharks
Dian HEUNIS,Prop,22 y/o,20/05/2003,1.85 m,126 kg,6 ft 1 in,19 st 11.78 lb; 277.78 lb,PRO,,sharks
Hanro JACOBS,Prop,25 y/o,14/03/2000,1.85 m,129 kg,6 ft 1 in,20 st 4.40 lb; 284.40 lb,PRO,2027,sharks
Khwezi MONA,Prop,32 y/o,08/10/1992,1.83 m,120 kg,6 ft,18 st; 264.55 lb,PRO,,sharks
Mawande MDANDA,Prop,22 y/o,09/03/2003,1.89 m,132 kg,6 ft 2 in,20 st 11.01 lb; 291.01 lb,PRO,,sharks
Ntuthuko MCHUNU,Prop,26 y/o,05/04/1999,1.88 m,120 kg,6 ft 2 in,18 st 12.55 lb; 264.55 lb,PRO,2025,sharks
Ox NCHÉ,Prop,29 y/o,23/07/1995,1.76 m,123 kg,5 ft 9 in,19 st 5.17 lb; 271.17 lb,PRO,2028,sharks
Phatu GANYANE,Prop,22 y/o,17/01/2003,1.85 m,123 kg,6 ft 1 in,19 st 5.17 lb; 271.17 lb,PRO,2027,sharks
Ruan DREYER,Prop,34 y/o,16/09/1990,1.86 m,115 kg,6 ft 1 in,18 st 1.53 lb; 253.53 lb,PRO,2027,sharks
Trevor NYAKANE,Prop,36 y/o,04/05/1989,1.78 m,122 kg,5 ft 10 in,19 st 2.96 lb; 268.96 lb,PRO,,sharks
Vincent KOCH,Prop,35 y/o,13/03/1990,1.85 m,118 kg,6 ft 1 in,18 st 8.15 lb; 260.15 lb,PRO,,sharks
Bongi MBONAMBI,Hooker,34 y/o,07/01/1991,1.75 m,118 kg,5 ft 9 in,18 st 8.15 lb; 260.15 lb,PRO,2026,sharks
Bryce CALVERT,Hooker,-,-,1.80 m,107 kg,5 ft 11 in,16 st 11.89 lb; 235.89 lb,PRO,,sharks
Ethan BESTER,Hooker,20 y/o,31/10/2004,1.87 m,112 kg,6 ft 2 in,17 st 8.92 lb; 246.92 lb,PRO,2028,sharks
Fez MBATHA,Hooker,25 y/o,02/08/1999,1.80 m,112 kg,5 ft 11 in,17 st 8.92 lb; 246.92 lb,PRO,2026,sharks
Coetzee LE ROUX,Lock,22 y/o,22/01/2003,1.93 m,112 kg,6 ft 4 in,17 st 8.92 lb; 246.92 lb,PRO,2026,sharks
Corné RAHL,Lock,23 y/o,27/05/2002,2.03 m,122 kg,6 ft 8 in,19 st 2.96 lb; 268.96 lb,PRO,2025,sharks
Deon SLABBERT,Lock,25 y/o,04/05/2000,2.00 m,117 kg,6 ft 7 in,18 st 5.94 lb; 257.94 lb,PRO,,sharks
Eben ETZEBETH,Lock,33 y/o,29/10/1991,2.03 m,126 kg,6 ft 8 in,19 st 11.78 lb; 277.78 lb,PRO,2027,sharks
Emile VAN HEERDEN,Lock,24 y/o,08/08/2000,2.00 m,110 kg,6 ft 7 in,17 st 4.51 lb; 242.51 lb,PRO,2027,sharks
Gerbrandt GROBLER,Lock,33 y/o,06/02/1992,2.00 m,120 kg,6 ft 7 in,18 st 12.55 lb; 264.55 lb,PRO,2025,sharks
Jason JENKINS,Lock,29 y/o,02/12/1995,2.03 m,127 kg,6 ft 8 in,19 st 13.99 lb; 279.99 lb,PRO,,sharks
Reniel HUGO,Lock,34 y/o,19/07/1990,1.97 m,112 kg,6 ft 6 in,17 st 8.92 lb; 246.92 lb,PRO,2025,sharks
Thomas DYER,Lock,20 y/o,16/11/2004,1.96 m,115 kg,6 ft 5 in,18 st 1.53 lb; 253.53 lb,PRO,,sharks
Batho HLEKANI,Back row,20 y/o,05/04/2005,1.93 m,115 kg,6 ft 4 in,18 st 1.53 lb; 253.53 lb,ACADEMY,,sharks
Dylan RICHARDSON,Back row,26 y/o,15/01/1999,1.85 m,110 kg,6 ft 1 in,17 st 4.51 lb; 242.51 lb,PRO,2025,sharks
James VENTER,Back row,28 y/o,21/08/1996,1.82 m,97 kg,6 ft,15 st; 213.85 lb,PRO,2025,sharks
Jannes POTGIETER,Back row,22 y/o,05/05/2003,1.93 m,112 kg,6 ft 4 in,17 st 8.92 lb; 246.92 lb,PRO,2027,sharks
Manu TSHITUKA,Back row,25 y/o,16/06/2000,1.93 m,110 kg,6 ft 4 in,17 st 4.51 lb; 242.51 lb,PRO,,sharks
Mèno BARNARD,Back row,-,-,1.93 m,104 kg,6 ft 4 in,16 st 5.28 lb; 229.28 lb,PRO,,sharks
Nick HATTON,Back row,22 y/o,17/01/2003,1.91 m,103 kg,6 ft 3 in,16 st 3.08 lb; 227.08 lb,PRO,2027,sharks
Phepsi BUTHELEZI,Back row,26 y/o,30/05/1999,1.88 m,108 kg,6 ft 2 in,17 st 0.10 lb; 238.10 lb,PRO,2026,sharks
Siya KOLISI,Back row,34 y/o,16/06/1991,1.89 m,104 kg,6 ft 2 in,16 st 5.28 lb; 229.28 lb,PRO,2027,sharks
Tino MAVESERE,Back row,26 y/o,17/10/1998,1.89 m,105 kg,6 ft 2 in,16 st 7.49 lb; 231.49 lb,PRO,2028,sharks
Vincent TSHITUKA,Back row,26 y/o,10/09/1998,1.94 m,110 kg,6 ft 4 in,17 st 4.51 lb; 242.51 lb,PRO,2027,sharks
Bradley DAVIDS,Scrum-half,22 y/o,30/07/2002,1.76 m,79 kg,5 ft 9 in,12 st 6.17 lb; 174.16 lb,PRO,2027,sharks
Grant WILLIAMS,Scrum-half,28 y/o,22/07/1996,1.74 m,80 kg,5 ft 9 in,12 st 8.37 lb; 176.37 lb,PRO,2027,sharks
Jaden HENDRIKSE,Scrum-half,25 y/o,23/03/2000,1.84 m,92 kg,6 ft,14 st; 202.83 lb,PRO,2025,sharks
Tiaan FOURIE,Scrum-half,23 y/o,22/04/2002,1.73 m,78 kg,5 ft 8 in,12 st 3.96 lb; 171.96 lb,PRO,,sharks
Tian MEYER,Scrum-half,36 y/o,20/09/1988,1.77 m,84 kg,5 ft 10 in,13 st 3.19 lb; 185.19 lb,PRO,,sharks
Jean SMITH,Fly-half,22 y/o,01/04/2003,1.81 m,89 kg,5 ft 11 in,14 st 0.21 lb; 196.21 lb,PRO,,sharks
Jordan HENDRIKSE,Fly-half,24 y/o,28/06/2001,1.88 m,93 kg,6 ft 2 in,14 st 9.03 lb; 205.03 lb,PRO,,sharks
Lionel CRONJÉ,Fly-half,36 y/o,25/05/1989,1.84 m,92 kg,6 ft,14 st; 202.83 lb,PRO,,sharks
Siya MASUKU,Fly-half,28 y/o,01/08/1996,1.89 m,95 kg,6 ft 2 in,14 st 13.44 lb; 209.44 lb,PRO,2028,sharks
André ESTERHUIZEN,Centre,31 y/o,30/03/1994,1.93 m,115 kg,6 ft 4 in,18 st 1.53 lb; 253.53 lb,PRO,,sharks
Diego APPOLLIS,Centre,24 y/o,27/08/2000,1.78 m,94 kg,5 ft 10 in,14 st 11.23 lb; 207.23 lb,PRO,,sharks
Ethan HOOKER,Centre,22 y/o,20/01/2003,1.93 m,100 kg,6 ft 4 in,15 st 10.46 lb; 220.46 lb,PRO,2027,sharks
Francois VENTER,Centre,34 y/o,19/04/1991,1.85 m,95 kg,6 ft 1 in,14 st 13.44 lb; 209.44 lb,PRO,,sharks
Jurenzo JULIUS,Centre,21 y/o,11/05/2004,1.78 m,96 kg,5 ft 10 in,15 st 1.64 lb; 211.64 lb,PRO,,sharks
Litelihle BESTER,Centre,21 y/o,01/04/2004,1.87 m,92 kg,6 ft 2 in,14 st 6.83 lb; 202.83 lb,PRO,,sharks
Lukhanyo AM,Centre,31 y/o,28/11/1993,1.88 m,101 kg,6 ft 2 in,15 st 12.67 lb; 222.67 lb,PRO,,sharks
Eduan KEYTER,Winger,29 y/o,13/06/1996,1.84 m,101 kg,6 ft,15 st; 222.67 lb,PRO,2025,sharks
Gurshwin WEHR,Winger,26 y/o,08/09/1998,1.85 m,85 kg,6 ft 1 in,13 st 5.39 lb; 187.39 lb,PRO,,sharks
Makazole MAPIMPI,Winger,34 y/o,26/07/1990,1.84 m,92 kg,6 ft,14 st; 202.83 lb,PRO,2027,sharks
Marnus POTGIETER,Winger,26 y/o,20/06/1999,1.88 m,106 kg,6 ft 2 in,16 st 9.69 lb; 233.69 lb,PRO,2025,sharks
Yaw PENXE,Winger,28 y/o,03/04/1997,1.83 m,93 kg,6 ft,14 st; 205.03 lb,PRO,,sharks
Aphelele FASSI,Fullback,27 y/o,23/01/1998,1.90 m,94 kg,6 ft 3 in,14 st 11.23 lb; 207.23 lb,PRO,,sharks
Hakeem KUNENE,Fullback,22 y/o,03/02/2003,1.83 m,90 kg,6 ft,14 st; 198.42 lb,PRO,2026,sharks
Henry IMMELMAN,Fullback,30 y/o,26/05/1995,1.90 m,103 kg,6 ft 3 in,16 st 3.08 lb; 227.08 lb,PRO,2025,sharks
Jaco WILLIAMS,Fullback,19 y/o,25/08/2005,1.75 m,73 kg,5 ft 9 in,11 st 6.94 lb; 160.94 lb,PRO,,sharks
Alec HEPBURN,Prop,32 y/o,30/03/1993,1.86 m,114 kg,6 ft 1 in,17 st 13.33 lb; 251.33 lb,PRO,,scarlets
Archer HOLZ,Prop,25 y/o,01/03/2000,1.89 m,128 kg,6 ft 2 in,20 st 2.19 lb; 282.19 lb,PRO,,scarlets
Gabe HAWLEY,Prop,-,-,1.90 m,130 kg,6 ft 3 in,20 st 6.60 lb; 286.60 lb,ACADEMY,,scarlets
Harri O'CONNOR,Prop,24 y/o,25/10/2000,1.82 m,118 kg,6 ft,18 st; 260.15 lb,PRO,,scarlets
Henry THOMAS,Prop,33 y/o,30/10/1991,1.88 m,120 kg,6 ft 2 in,18 st 12.55 lb; 264.55 lb,PRO,,scarlets
Kemsley MATHIAS,Prop,25 y/o,29/07/1999,1.85 m,121 kg,6 ft 1 in,19 st 0.76 lb; 266.76 lb,PRO,2027,scarlets
Sam WAINWRIGHT,Prop,27 y/o,07/05/1998,1.82 m,119 kg,6 ft,18 st; 262.35 lb,PRO,2025,scarlets
Marnus VAN DER MERWE,Hooker,28 y/o,17/02/1997,1.86 m,115 kg,6 ft 1 in,18 st 1.53 lb; 253.53 lb,PRO,,scarlets
Ryan ELIAS,Hooker,30 y/o,07/01/1995,1.88 m,115 kg,6 ft 2 in,18 st 1.53 lb; 253.53 lb,PRO,2025,scarlets
Shaun EVANS,Hooker,28 y/o,14/09/1996,1.83 m,103 kg,6 ft,16 st; 227.08 lb,PRO,2025,scarlets
Alex CRAIG,Lock,28 y/o,26/04/1997,1.98 m,119 kg,6 ft 6 in,18 st 10.35 lb; 262.35 lb,PRO,2025,scarlets
Jac PRICE,Lock,24 y/o,04/08/2000,1.98 m,115 kg,6 ft 6 in,18 st 1.53 lb; 253.53 lb,PRO,,scarlets
Max DOUGLAS,Lock,25 y/o,01/01/2000,2.01 m,112 kg,6 ft 7 in,17 st 8.92 lb; 246.92 lb,PRO,,scarlets
Morgan JONES,Lock,26 y/o,23/05/1999,2.00 m,112 kg,6 ft 7 in,17 st 8.92 lb; 246.92 lb,PRO,2025,scarlets
Sam LOUSI,Lock,33 y/o,20/07/1991,1.98 m,121 kg,6 ft 6 in,19 st 0.76 lb; 266.76 lb,PRO,,scarlets
Taine PLUMTREE,Lock,25 y/o,09/03/2000,1.95 m,108 kg,6 ft 5 in,17 st 0.10 lb; 238.10 lb,PRO,,scarlets
Vaea FIFITA,Lock,33 y/o,17/06/1992,1.96 m,116 kg,6 ft 5 in,18 st 3.74 lb; 255.74 lb,PRO,,scarlets
Ben WILLIAMS,Back row,23 y/o,23/04/2002,1.88 m,108 kg,6 ft 2 in,17 st 0.10 lb; 238.10 lb,PRO,,scarlets
Dan DAVIS,Back row,26 y/o,17/09/1998,1.82 m,101 kg,6 ft,15 st; 222.67 lb,PRO,,scarlets
Jarrod TAYLOR,Back row,24 y/o,15/02/2001,1.88 m,100 kg,6 ft 2 in,15 st 10.46 lb; 220.46 lb,PRO,,scarlets
Josh MACLEOD,Back row,28 y/o,27/10/1996,1.89 m,110 kg,6 ft 2 in,17 st 4.51 lb; 242.51 lb,PRO,,scarlets
Archie HUGHES,Scrum-half,22 y/o,14/02/2003,1.73 m,77 kg,5 ft 8 in,12 st 1.76 lb; 169.76 lb,PRO,,scarlets
Efan JONES,Scrum-half,27 y/o,11/12/1997,1.77 m,85 kg,5 ft 10 in,13 st 5.39 lb; 187.39 lb,PRO,2025,scarlets
Gareth DAVIES,Scrum-half,34 y/o,18/08/1990,1.78 m,88 kg,5 ft 10 in,13 st 12.01 lb; 194.01 lb,PRO,,scarlets
Ioan LLOYD,Fly-half,24 y/o,05/04/2001,1.79 m,86 kg,5 ft 10 in,13 st 7.60 lb; 189.60 lb,PRO,2025,scarlets
Sam COSTELOW,Fly-half,24 y/o,10/01/2001,1.75 m,84 kg,5 ft 9 in,13 st 3.19 lb; 185.19 lb,PRO,,scarlets
Eddie JAMES,Centre,22 y/o,10/08/2002,1.93 m,104 kg,6 ft 4 in,16 st 5.28 lb; 229.28 lb,PRO,,scarlets
Ioan NICHOLAS,Centre,27 y/o,03/04/1998,1.82 m,92 kg,6 ft,14 st; 202.83 lb,PRO,,scarlets
Joe ROBERTS,Centre,25 y/o,10/05/2000,1.82 m,96 kg,6 ft,15 st; 211.64 lb,PRO,,scarlets
Johnny WILLIAMS,Centre,28 y/o,18/10/1996,1.91 m,105 kg,6 ft 3 in,16 st 7.49 lb; 231.49 lb,PRO,2027,scarlets
Ellis MEE,Winger,21 y/o,06/10/2003,1.93 m,92 kg,6 ft 4 in,14 st 6.83 lb; 202.83 lb,PRO,,scarlets
Steff EVANS,Winger,30 y/o,01/09/1994,1.82 m,95 kg,6 ft,14 st; 209.44 lb,PRO,2025,scarlets
Tom ROGERS,Winger,26 y/o,17/12/1998,1.85 m,87 kg,6 ft 1 in,13 st 9.80 lb; 191.80 lb,PRO,,scarlets
Blair MURRAY,Fullback,23 y/o,09/10/2001,1.73 m,83 kg,5 ft 8 in,13 st 0.98 lb; 182.98 lb,PRO,,scarlets
Tomi LEWIS,Fullback,26 y/o,17/01/1999,1.85 m,87 kg,6 ft 1 in,13 st 9.80 lb; 191.80 lb,PRO,2027,scarlets
Ali VERMAAK,Prop,39 y/o,28/04/1986,1.78 m,111 kg,5 ft 10 in,17 st 6.71 lb; 244.71 lb,PRO,,stormers
Brok HARRIS,Prop,40 y/o,22/02/1985,1.86 m,121 kg,6 ft 1 in,19 st 0.76 lb; 266.76 lb,PRO,2025,stormers
Corné WEILBACH,Prop,23 y/o,18/02/2002,1.85 m,124 kg,6 ft 1 in,19 st 7.37 lb; 273.37 lb,PRO,,stormers
Frans MALHERBE,Prop,34 y/o,14/03/1991,1.90 m,141 kg,6 ft 3 in,22 st 2.85 lb; 310.85 lb,PRO,2026,stormers
Leon LYONS,Prop,26 y/o,02/12/1998,1.87 m,123 kg,6 ft 2 in,19 st 5.17 lb; 271.17 lb,PRO,,stormers
Neethling FOUCHÉ,Prop,32 y/o,10/01/1993,1.89 m,120 kg,6 ft 2 in,18 st 12.55 lb; 264.55 lb,PRO,2028,stormers
Sazi SANDI,Prop,26 y/o,11/07/1998,1.81 m,124 kg,5 ft 11 in,19 st 7.37 lb; 273.37 lb,PRO,2027,stormers
Sti SITHOLE,Prop,32 y/o,31/03/1993,1.80 m,115 kg,5 ft 11 in,18 st 1.53 lb; 253.53 lb,PRO,,stormers
Vernon MATONGO,Prop,23 y/o,28/02/2002,1.81 m,120 kg,5 ft 11 in,18 st 12.55 lb; 264.55 lb,PRO,,stormers
André-Hugo VENTER,Hooker,23 y/o,10/09/2001,1.87 m,107 kg,6 ft 2 in,16 st 11.89 lb; 235.89 lb,PRO,,stormers
JJ KOTZÉ,Hooker,24 y/o,06/11/2000,1.87 m,109 kg,6 ft 2 in,17 st 2.30 lb; 240.30 lb,PRO,,stormers
Joseph DWEBA,Hooker,29 y/o,25/10/1995,1.80 m,111 kg,5 ft 11 in,17 st 6.71 lb; 244.71 lb,PRO,2025,stormers
Lukhanyo VOKOZELA,Hooker,23 y/o,05/02/2002,1.75 m,108 kg,5 ft 9 in,17 st 0.10 lb; 238.10 lb,PRO,,stormers
Siyabonga NTUBENI,Hooker,34 y/o,18/02/1991,1.74 m,109 kg,5 ft 9 in,17 st 2.30 lb; 240.30 lb,PRO,2026,stormers
Ben-Jason DIXON,Lock,27 y/o,29/04/1998,1.98 m,110 kg,6 ft 6 in,17 st 4.51 lb; 242.51 lb,PRO,2027,stormers
Connor EVANS,Lock,23 y/o,24/01/2002,1.98 m,113 kg,6 ft 6 in,17 st 11.12 lb; 249.12 lb,PRO,,stormers
Gary PORTER,Lock,28 y/o,22/07/1996,2.01 m,115 kg,6 ft 7 in,18 st 1.53 lb; 253.53 lb,PRO,,stormers
JD SCHICKERLING,Lock,30 y/o,09/05/1995,2.03 m,121 kg,6 ft 8 in,19 st 0.76 lb; 266.76 lb,PRO,2027,stormers
Ruben VAN HEERDEN,Lock,27 y/o,27/10/1997,2.00 m,121 kg,6 ft 7 in,19 st 0.76 lb; 266.76 lb,PRO,2027,stormers
Salmaan MOERAT,Lock,27 y/o,06/03/1998,2.00 m,122 kg,6 ft 7 in,19 st 2.96 lb; 268.96 lb,PRO,2027,stormers
CJ VELLEMAN,Back row,30 y/o,24/02/1995,1.78 m,103 kg,5 ft 10 in,16 st 3.08 lb; 227.08 lb,PRO,,stormers
Dave EWERS,Back row,34 y/o,03/11/1990,1.93 m,126 kg,6 ft 4 in,19 st 11.78 lb; 277.78 lb,PRO,2025,stormers
Deon FOURIE,Back row,38 y/o,25/09/1986,1.76 m,98 kg,5 ft 9 in,15 st 6.05 lb; 216.05 lb,PRO,2026,stormers
Evan ROOS,Back row,25 y/o,21/01/2000,1.92 m,108 kg,6 ft 4 in,17 st 0.10 lb; 238.10 lb,PRO,2027,stormers
Keke MORABE,Back row,24 y/o,21/04/2001,1.88 m,115 kg,6 ft 2 in,18 st 1.53 lb; 253.53 lb,PRO,2028,stormers
Louw NEL,Back row,22 y/o,09/08/2002,1.90 m,107 kg,6 ft 3 in,16 st 11.89 lb; 235.89 lb,PRO,,stormers
Marcel THEUNISSEN,Back row,26 y/o,09/06/1999,1.92 m,104 kg,6 ft 4 in,16 st 5.28 lb; 229.28 lb,PRO,,stormers
Paul DE VILLIERS,Back row,22 y/o,13/01/2003,1.81 m,100 kg,5 ft 11 in,15 st 10.46 lb; 220.46 lb,PRO,,stormers
Dewaldt DUVENAGE,Scrum-half,37 y/o,22/05/1988,1.75 m,82 kg,5 ft 9 in,12 st 12.78 lb; 180.78 lb,PRO,,stormers
Herschel JANTJIES,Scrum-half,29 y/o,22/04/1996,1.67 m,77 kg,5 ft 6 in,12 st 1.76 lb; 169.76 lb,PRO,2025,stormers
Imad KHAN,Scrum-half,21 y/o,02/12/2003,1.79 m,80 kg,5 ft 10 in,12 st 8.37 lb; 176.37 lb,PRO,,stormers
Paul DE WET,Scrum-half,29 y/o,16/03/1996,1.76 m,83 kg,5 ft 9 in,13 st 0.98 lb; 182.98 lb,PRO,2025,stormers
Stefan UNGERER,Scrum-half,31 y/o,23/11/1993,1.83 m,93 kg,6 ft,14 st; 205.03 lb,PRO,,stormers
Damian WILLEMSE,Fly-half,27 y/o,07/05/1998,1.84 m,96 kg,6 ft,15 st; 211.64 lb,PRO,2027,stormers
Jean-Luc DU PLESSIS,Fly-half,31 y/o,07/05/1994,1.80 m,92 kg,5 ft 11 in,14 st 6.83 lb; 202.83 lb,PRO,,stormers
Jurie MATTHEE,Fly-half,24 y/o,04/11/2000,1.91 m,89 kg,6 ft 3 in,14 st 0.21 lb; 196.21 lb,PRO,2026,stormers
Manie LIBBOK,Fly-half,27 y/o,15/07/1997,1.84 m,80 kg,6 ft,12 st; 176.37 lb,PRO,2025,stormers
Sacha MNGOMEZULU,Fly-half,23 y/o,22/02/2002,1.85 m,90 kg,6 ft 1 in,14 st 2.42 lb; 198.42 lb,PRO,2027,stormers
Dan DU PLESSIS,Centre,31 y/o,15/02/1994,1.93 m,103 kg,6 ft 4 in,16 st 3.08 lb; 227.08 lb,PRO,2026,stormers
Jonathan ROCHE,Centre,22 y/o,01/02/2003,1.88 m,99 kg,6 ft 2 in,15 st 8.26 lb; 218.26 lb,PRO,,stormers
Luke BURGER,Centre,22 y/o,12/08/2002,1.88 m,90 kg,6 ft 2 in,14 st 2.42 lb; 198.42 lb,PRO,,stormers
Ruhan NEL,Centre,34 y/o,17/05/1991,1.91 m,101 kg,6 ft 3 in,15 st 12.67 lb; 222.67 lb,PRO,2026,stormers
Suleiman HARTZENBERG,Centre,22 y/o,20/05/2003,1.87 m,95 kg,6 ft 2 in,14 st 13.44 lb; 209.44 lb,PRO,2027,stormers
Wandisile SIMELANE,Centre,27 y/o,21/03/1998,1.80 m,95 kg,5 ft 11 in,14 st 13.44 lb; 209.44 lb,PRO,2026,stormers
Angelo DAVIDS,Winger,26 y/o,01/06/1999,1.78 m,94 kg,5 ft 10 in,14 st 11.23 lb; 207.23 lb,PRO,2025,stormers
Ben LOADER,Winger,26 y/o,08/11/1998,1.88 m,95 kg,6 ft 2 in,14 st 13.44 lb; 209.44 lb,PRO,2025,stormers
Courtnall SKOSAN,Winger,33 y/o,24/07/1991,1.83 m,96 kg,6 ft,15 st; 211.64 lb,PRO,,stormers
Leolin ZAS,Winger,29 y/o,20/10/1995,1.84 m,95 kg,6 ft,14 st; 209.44 lb,PRO,2026,stormers
Seabelo SENATLA,Winger,32 y/o,10/02/1993,1.79 m,89 kg,5 ft 10 in,14 st 0.21 lb; 196.21 lb,PRO,,stormers
Warrick GELANT,Fullback,30 y/o,20/05/1995,1.78 m,96 kg,5 ft 10 in,15 st 1.64 lb; 211.64 lb,PRO,2026,stormers
Ben WARREN,Prop,25 y/o,02/04/2000,1.85 m,122 kg,6 ft 1 in,19 st 2.96 lb; 268.96 lb,PRO,,ospreys
Cameron JONES,Prop,23 y/o,04/10/2001,1.93 m,113 kg,6 ft 4 in,17 st 11.12 lb; 249.12 lb,PRO,,ospreys
Gareth THOMAS,Prop,31 y/o,02/08/1993,1.88 m,120 kg,6 ft 2 in,18 st 12.55 lb; 264.55 lb,PRO,,ospreys
